Type,Gear Name,Chill,Flow,Rush,Beat,Vibe,PPoint,CMult,FMult,Time,Fill,PTime
Face,Rare Flow Commander's Visor,8,14,,,,,,7,,,
Face,Rare Rush Chieftan's Mask,,,14,,6,4,4,,,,
Face,Rare Chill Samurai's Mask,14,9,,,,6,,,,,
Face,Restriction Eyepatch,,6,11,,,,4,,2,,
Face,Roxie's Glasses,,,7,,11,,,4,,,
Face,Onii's Otaku Specs,,3,4,,,,5,,,,
Face,Gamer's Expensive Shades,4,,,8,,,3,5,,,
Face,Goonie's Disco Glasses,,6,,,2,,,,,,3
Face,Kagan's Cowboy Goggles,5,,3,,,,3,,,,
Face,Xana's Street Shades,,,4,2,,,,1,,3,
Face,Xsitsu's Retro Aviators,1,,,6,,5,,,,,
Face,Random's Hip Glasses,2,,,,4,,,4,,,
Face,Kobaryo's Glasses,,7,10,,,,2,3,,,
Face,Red Reindeer Nose,,,9,7,,,,,5,,
Face,MAXZY's Mask,10,,,,7,,5,,,3,
Face,Tobu's Sweet Shades,,,8,,6,,3,4,,,
Face,ARForest's Plague Mask,,11,,,6,,,,,4,
Face,AAAA's Hoshikake-kun Mask,14,10,,,,,,,4,,
Face,HyuN's Cyberpunk Mask,11,9,,,,,,4,,,
Face,garlagan's t0y0u Mask,,6,12,,,,4,,,,
Face,Bossfight's Mask,,15,,,4,,,,,4,
Face,Eternxlkz's Black17 Glasses,,,8,,8,7,6,,,,
Shirt,Legendary Marshall's Coat,12,,12,,,,,8,8,,
Shirt,Legendary Musketeer's Coat,,14,,,13,,10,,,,2
Shirt,Legendary Rebel's Coat,14,,,14,,10,,,,,2
Shirt,Legendary Beat Cyborg's Jumpsuit,,9,,21,,,,,7,7,
Shirt,Legendary Vibe Ringleader's Suit,,,,10,20,,11,,,,
Shirt,Legendary Flow Commander's Jumpsuit,10,21,,,,,,8,,,
Shirt,Legendary Rush Chieftan's Garb,,,21,,9,5,5,,,,
Shirt,Legendary Chill Samurai's Cuirass,21,10,,,,9,,,,,
Shirt,Rare Beat Cyborg's Jumpsuit,,6,,15,,,,,4,4,
Shirt,Rare Vibe Ringleader's Suit,,,,5,16,,10,,,,
Shirt,Rare Flow Commander's Jumpsuit,8,16,,,,,,6,,,
Shirt,Rare Rush Chieftan's Garb,,,15,,7,4,4,,,,
Shirt,Rare Chill Samurai's Cuirass,15,10,,,,6,,,,,
Shirt,Ardolf's Lycanthrope Scruff,,11,,6,,,,5,,,
Shirt,Ringmaster Roxie's Top,,,11,,8,,,,4,,
Shirt,Poppy's Flux Shirt,,10,5,,,6,,,,,1
Shirt,Onii's Otaku Sweater,,1,6,,,,5,,,,
Shirt,Gamer's Expensive Suit,2,,,11,,,4,3,,,
Shirt,Goonie's Disco Shirt,,6,,,1,1,,,,,2
Shirt,Slynk's Funky Fresh T-Shirt,,5,,,12,,,3,3,,
Shirt,Kagan's Cowboy Vest,5,,1,,,,4,,,,
Shirt,Koneko's Cat Shirt,9,,,,6,4,,,,,1
Shirt,Xana's Street Jacket,,,3,2,,,,3,,2,
Shirt,Xsitsu's Retro Suit,2,,,5,,5,,,,,
Shirt,Random's Hip Hoodie,1,,,,6,,,5,,,
Shirt,Kurante's DiVE Uniform,,,,8,8,,6,,,,1
Shirt,Landino's Tracksuit,11,9,,,,4,,,,,
Shirt,Kobaryo's Shirt,,6,11,,,,3,,3,,
Shirt,Just Coach's Jacket,11,,7,,,,6,,,,
Shirt,Just Dance Coach's Top,,11,,,7,,,4,,,
Shirt,Rutra's Hoodie,,,10,,,5,,5,,,
Shirt,Creo's Hoodie,10,,7,,,4,3,,,,
Shirt,YooH's Jumpsuit,9,,7,,,,6,6,,,
Shirt,Black17 Shirt,,,10,,10,4,,,,4,
Shirt,Heavy Metal Starlet's Jacket,,,,15,6,,,5,,2,
Shirt,USAO Tank Top,,,14,,6,,,4,,4,
Back,The Games: Cape,,,,,2,,5,5,5,5,
Back,No-Scope Loadout,,3,,,,,7,7,,7,
Back,Legendary Marshall's Shoulderpads,12,,12,,,,,6,,5,
Back,Legendary Musketeer's Epaulette,,13,,,12,4,6,,,,
Back,Legendary Rebel's Sash,11,,,13,,11,,3,,,
Back,Legendary Beat Cyborg's Jetpack,,10,,19,,,,,8,4,
Back,Legendary Vibe Ringleader's Band Kit,,,,9,20,,9,,,,
Back,Legendary Flow Commander's Jetpack,7,21,,,,,,7,,,
Back,Legendary Rush Chieftan's Aura Band,,,21,,10,6,5,,,,
Back,Legendary Chill Samurai's Banner,19,9,,,,9,,,,,
Back,Rare Beat Cyborg's Jetpack,,7,,15,,,,,4,3,
Back,Rare Vibe Ringleader's Band Kit,,,,8,16,,6,,,,
Back,Rare Flow Commander's Jetpack,4,17,,,,,,7,,,
Back,Rare Rush Chieftan's Aura Band,,,14,,8,5,2,,,,
Back,Rare Chill Samurai's Banner,15,8,,,,7,,,,,
Back,Ardolf's Lycanthrope Tail,,12,,5,,,,,5,,
Back,Onii's Heart Blade,,1,4,,,,2,,,,
Back,Kurante's DiVE Wings,,,,8,8,2,4,,,,
Back,Santa's Helper Cape,,,10,,16,,,,,3,
Back,Shaii's Wings,,13,,,4,,,3,4,,
Back,Koneko's Cat Tail,8,,,,7,3,,,,,1
Back,Casual Guitar,,12,,,3,,,,,,2
Back,Hardcore Guitar,,,10,10,,,,,,,
Back,Kairoh's Heart Guitar,,12,,,,,,8,,,
Back,Pink Electric Guitar,7,,,,10,,,2,4,,
Back,Silentroom's Lonely Stars,15,,,,,,,,4,3,
Back,Axe Guitar,,,,7,,,,6,,,
Back,Metal Guitar,,,7,,,,5,,,,
Back,Vibe Beginner Boombox,,,,,10,4,,,,,
Back,Rush Beginner Boombox,,,10,,,4,,,,,
Back,Beat Beginner Boombox,,,,10,,4,,,,,
Back,Chill Beginner Boombox,10,,,,,4,,,,,
Back,Flow Beginner Boombox,,10,,,,4,,,,,
Back,Valentine's Bear,,,18,,,,4,,4,,
Back,Juggernaut's Mini-Gun,,3,15,,,,,,7,,
Back,Apocalypse Survivor Starlet's Comms Pack,15,,,6,,,5,,2,,
Back,nanobii's Bubble Wand,4,8,,,,,4,4,4,4,
Back,Snail-chan's Shell,8,9,,,,,,,10,,
Back,Trailblazing Trance Zara's Wings,15,,,,4,,,,4,4,
Pants,Legendary Marshall's Trousers,12,,13,,,,,7,7,,
Pants,Legendary Musketeer's Trousers,,14,,,13,,9,3,,,
Pants,Legendary Rebel's Trousers,14,,,14,,9,,,,2,
Pants,Legendary Beat Cyborg's Jumpsuit Pants,,7,,18,,,,,7,6,
Pants,Legendary Vibe Ringleader's Slacks,,,,9,20,,9,,,,
Pants,Legendary Flow Commander's Jumpsuit Pants,11,19,,,,,,9,,,
Pants,Legendary Rush Chieftan's Pants,,,20,,8,6,6,,,,
Pants,Legendary Chill Samurai's Greaves,18,10,,,,9,,,,,
Pants,Rare Beat Cyborg's Jumpsuit Pants,,6,,14,,,,,4,5,
Pants,Rare Vibe Ringleader's Slacks,,,,8,15,,6,,,,
Pants,Rare Flow Commander's Jumpsuit Pants,9,14,,,,,,7,,,
Pants,Rare Rush Chieftan's Pants,,,16,,6,4,4,,,,
Pants,Rare Chill Samurai's Greaves,14,9,,,,7,,,,,
Pants,Ringmaster Roxie's Skirt,,,12,,7,,4,,,,
Pants,Poppy's Flux Dress,,10,6,,,6,,,,,1
Pants,Onii's Otaku Khakis,,2,6,,,,5,,,,
Pants,Gamer's Expensive Slacks,5,,,9,,,3,3,,,
Pants,Goonie's Disco Pants,,5,,,2,,,,,1,2
Pants,Slynk's Funky Fresh Jeans and Sneakers,,6,,,11,,,2,3,,
Pants,Kagan's Cowboy Pants,5,,2,,,,3,,,,
Pants,Koneko's Cat Shorts,9,,,,7,4,,,,,1
Pants,Xana's Street Pants,,,4,2,,,,2,,2,
Pants,Xsitsu's Retro Slacks,2,,,4,,4,,,,,
Pants,Random's Hip Sweats,1,,,,6,,,4,,,
Pants,Kurante's DiVE Skirt,,,,7,6,,5,1,,,
Pants,Landino's Track Pants,11,8,,,,4,,,,,
Pants,Kobaryo's Shorts,,6,12,,,,3,,,3,
Pants,Halloween Witch's Skirt,7,11,,,,,,,2,4,
Pants,Just Dance Coach's Stockings,,10,,,7,,,5,,,
Pants,Just Dance Coach's Sneakers,11,,7,,,,5,,,,
Pants,YooH's Tights,10,,6,,,,3,,8,,
Hat,Artcore Maid's Pom-Pom's,,12,,9,,,,9,,,
Back,Artcore Maid's Tail,,13,,,7,,,,,10,
Shirt,Artcore Maid's Petticoat,,15,,5,,,,,,10,
Hat,Lester's Dog Ears,7,2,,,,7,,7,4,,
Face,Lester's Muzzle,5,3,,,,,4,,8,8,
Pants,Lester's Slacks,14,7,,,,,2,,,8,
Shirt,Lester's Suspenders,14,9,,,,,,,,8,
Back,Lester's Tail,15,6,,,,,,,6,2,
