Points	Multiplier	Multiplier	Fill	Time
471	2.642936908	5.357342271	0.2577502111	2.73822818
470	2.641945075	5.354862688	0.2587331086	2.736575125
470	2.640941231	5.352353078	0.2597279091	2.734902052
469	2.639925704	5.349814259	0.2607342878	2.733209506
469	2.638890573	5.347226433	0.2617600926	2.731484289
468	2.637842628	5.344606571	0.2627985966	2.729737714
468	2.636783784	5.34195946	0.2638479016	2.727972974
467	2.635714378	5.339285945	0.2649076735	2.72619063
467	2.634634747	5.336586867	0.2659775781	2.724391245
466	2.633545228	5.333863071	0.2670572812	2.722575381
466	2.63244616	5.331115399	0.2681464485	2.720743599
465	2.631337878	5.328344694	0.269244746	2.718896463
465	2.630212564	5.325531409	0.270359922	2.717020939
464	2.629059267	5.322648168	0.2715028285	2.715098778
463	2.627897376	5.319743439	0.2726542523	2.713162293
463	2.626727252	5.31681813	0.2738138343	2.711212087
462	2.625549259	5.313873146	0.2749812153	2.709248764
462	2.624363758	5.310909394	0.276156036	2.707272929
461	2.623171112	5.30792778	0.2773379372	2.705285187
460	2.621971684	5.304929209	0.2785265597	2.70328614
460	2.620765836	5.301914589	0.2797215442	2.701276393
459	2.619516941	5.298792353	0.2809591872	2.699194902
459	2.618260547	5.295651368	0.2822042624	2.697100912
458	2.616998502	5.292496255	0.2834549379	2.694997503
457	2.615731203	5.289328009	0.2847108194	2.692885339
457	2.61445905	5.286147624	0.2859715125	2.690765083
456	2.613182438	5.282956096	0.2872366227	2.688637397
455	2.611901768	5.279754419	0.2885057557	2.686502946
455	2.610617436	5.27654359	0.2897785169	2.684362393
454	2.609301132	5.27325283	0.2910829621	2.682168554
453	2.607977975	5.269944938	0.2923941988	2.679963292
453	2.606652245	5.266630612	0.2937079858	2.677753741
452	2.605324369	5.263310923	0.2950238983	2.675540616
451	2.603994778	5.259986946	0.296341511	2.67332463
451	2.6026639	5.256659751	0.297660399	2.671106501
450	2.601332165	5.253330412	0.2989801371	2.668886941
450	2.6	5.25	0.3003003003	2.666666667
449	2.59974892	5.2493723	0.3005491182	2.6662482
449	2.5990096	5.247524001	0.3012817774	2.665016001
448	2.59780292	5.244507301	0.3024775865	2.663004867
448	2.59614976	5.2403744	0.3041158537	2.6602496
447	2.594026291	5.235065727	0.3062201924	2.656710485
445	2.591401522	5.228503805	0.3088213145	2.65233587
444	2.588355518	5.220888794	0.3118398775	2.647259196
442	2.584912417	5.212281043	0.3152519588	2.641520696
440	2.581096585	5.202741462	0.3190334147	2.635160974
438	2.576972592	5.192431481	0.3231202538	2.628287654
436	2.572529799	5.181324497	0.3275230221	2.620882998
433	2.567791667	5.169479167	0.3322184682	2.612986112
431	2.56278166	5.156954149	0.3371833403	2.604636099
428	2.557598196	5.14399549	0.342320106	2.595996994
426	2.552253058	5.130632645	0.3476170896	2.58708843
423	2.546715225	5.116788063	0.353105032	2.577858709
420	2.541006496	5.102516241	0.358762331	2.568344161
417	2.535150593	5.087876482	0.3645654788	2.558584321
414	2.529220445	5.073051111	0.3704422022	2.548700741
411	2.523186505	5.057966262	0.3764217821	2.538644175
408	2.517069983	5.042674957	0.3824832004	2.528449971
405	2.510892088	5.027230219	0.3886054389	2.518153479
402	2.504606394	5.011515986	0.3948345043	2.507677324
399	2.498220087	4.995550217	0.4011632772	2.497033478
395	2.491836917	4.979592292	0.4074889415	2.486394861
392	2.485479651	4.963699127	0.4137889345	2.475799418
389	2.479171057	4.947927643	0.4200406941	2.465285095
386	2.472501287	4.931253217	0.4266503765	2.454168811
382	2.465932122	4.914830306	0.4331603593	2.443220204
379	2.459500918	4.898752294	0.4395336251	2.43250153
376	2.453235672	4.88308918	0.4457424273	2.422059453
373	2.446506525	4.866266311	0.4524109517	2.410844208
369	2.439900662	4.849751654	0.4589573022	2.399834436
366	2.433627341	4.834068352	0.4651741067	2.389378901
363	2.427551411	4.818878527	0.4711952987	2.379252351
360	2.420855081	4.802137703	0.477831301	2.368091802
357	2.414872414	4.787181034	0.4837600706	2.358120689
354	2.409395292	4.77348823	0.4891878488	2.348992153
351	2.403770808	4.75942702	0.4947616616	2.339618014
350	2.4	4.75	0.4984984985	2.333333333
348	2.395415573	4.729943133	0.5042462408	2.318051911
346	2.389785632	4.705312141	0.5113048006	2.29928544
343	2.383201268	4.676505549	0.5195599713	2.277337561
341	2.377092362	4.649779082	0.5272190362	2.256974539
338	2.370374192	4.62038709	0.5356419665	2.23458064
336	2.363071705	4.58843871	0.5447974869	2.210239017
333	2.355599048	4.555745834	0.5541663591	2.185330159
330	2.34826485	4.523658717	0.5633616375	2.160882832
327	2.340533385	4.489833561	0.5730549899	2.135111284
324	2.33242162	4.454344588	0.583225146	2.108072067
321	2.324109995	4.41798123	0.5936458766	2.080366651
318	2.315942514	4.382248496	0.6038858878	2.053141712
315	2.307490139	4.345269358	0.6144830839	2.02496713
312	2.298766422	4.307103098	0.6254204764	1.995888075
308	2.289784914	4.267808997	0.6366810768	1.965949712
305	2.280798953	4.228495421	0.6479472582	1.935996511
301	2.271653279	4.188483095	0.6594136819	1.90551093
298	2.262303369	4.14757724	0.6711361664	1.874344564
294	2.252761518	4.105831641	0.6830992982	1.842538393
291	2.24303109	4.063261018	0.6952988589	1.810103633
287	2.233096753	4.019798293	0.7077540713	1.776989176
283	2.22300601	3.975651294	0.7204053778	1.743353367
279	2.212771324	3.930874544	0.7332371535	1.709237748
275	2.202405158	3.885522565	0.7462337736	1.674683859
271	2.191662363	3.838522839	0.7597025926	1.638874544
267	2.180646391	3.790327962	0.7735139088	1.602154638
263	2.169529585	3.741691933	0.787451647	1.565098615
259	2.158325946	3.692676016	0.8014982504	1.527753155
255	2.146876394	3.642584226	0.8158531692	1.489587981
250	2.134704114	3.589330497	0.8311142118	1.449013712
245	2.122481606	3.535857027	0.8464382264	1.408272021
241	2.1102262	3.482239626	0.8618034877	1.367420667
236	2.097828794	3.428000972	0.8773467828	1.326095979
231	2.084314309	3.368875101	0.8942906187	1.281047696
226	2.070825336	3.309860844	0.9112024693	1.236084453
221	2.057385037	3.251059537	0.9280532945	1.191283457
216	2.043493801	3.190285378	0.9454694842	1.144979335
210	2.028837075	3.126162204	0.9638454088	1.096123584
205	2.014328723	3.062688163	0.9820353098	1.04776241
200	2	3	1	1
