Type,Star,Mini Name,Chill,Flow,Rush,Beat,Vibe,,CbMlt,FvMlt,FvTim,FvFil,L1 Stats,Chill,Flow,Rush,Beat,Vibe,,CbMlt,FvMlt,FvTim,FvFil,Song Target
Beat,1,Team Grimoire,,,,65,,,,20,,,,,,,13,,,,5,,,"[""Chironex by Team Grimoire"",""Chironex (Hard) by Team Grimoire"",""COCA by Team Grimoire"",""COCA (Hard) by Team Grimoire"",""G1ll35 D3 R415 by Team Grimoire"",""G1ll35 D3 R415 (Hard) by Team Grimoire"",""Grimoire of Crimson by Team Grimoire"",""Grimoire of Crimson (Hard) by Team Grimoire"",""Grimoire of Crimson (Easy) by Team Grimoire"",""Kathastrophe by Team Grimoire"",""Kathastrophe (Hard) by Team Grimoire"",""Kathastrophe (Easy) by Team Grimoire"",""ouroVoros by Team Grimoire"",""ouroVoros (Hard) by Team Grimoire"",""ouroVoros (Easy) by Team Grimoire"",""Grimoire of Blue by Team Grimoire"",""Grimoire of Blue (Hard) by Team Grimoire"",""Grimoire of Darkness by Team Grimoire"",""Grimoire of Darkness (Hard) by Team Grimoire"",""Restriction by Team Grimoire"",""Restriction (Hard) by Team Grimoire""]"
Rush,1,Lappy,,,70,15,,,,28,,,,,,14,3,,,,7,,,"[""Counter Blade by Lappy"",""Counter Blade (Hard) by Lappy"",""Get Hyped by Lappy"",""Get Hyped (Hard) by Lappy"",""Heiwa Sanka by Lappy (feat. Diana Garnet)"",""Heiwa Sanka (Hard) by Lappy (feat. Diana Garnet)"",""Start the Fight by Lappy"",""Start the Fight (Hard) by Lappy"",""Try Resisting Me by Lappy"",""Try Resisting Me (Hard) by Lappy"",""Try Resisting Me (Easy) by Lappy"",""Lord of Ashes by Lappy"",""Lord of Ashes (Hard) by Lappy"",""Shadowfall by Lappy"",""Shadowfall (Hard) by Lappy"",""Broken Utopia by Lappy"",""Broken Utopia (Hard) by Lappy"",""Game On, Beats High by Lappy"",""Game On, Beats High (Hard) by Lappy"",""World Eclipse by Lappy"",""World Eclipse (Hard) by Lappy"",""World Eclipse (Easy) by Lappy""]"
Beat,1,Similar Outskirts,25,,,50,,,,20,,,,5,,,10,,,,5,,,"[""Abyss Dweller by Similar Outskirts"",""Abyss Dweller (Hard) by Similar Outskirts"",""Chaos by Similar Outskirts"",""Chaos (Hard) by Similar Outskirts"",""Find My Way by Similar Outskirts"",""Find My Way (Hard) by Similar Outskirts"",""Find My Way (Easy) by Similar Outskirts"",""In The Moment by Similar Outskirts"",""In The Moment (Hard) by Similar Outskirts"",""Magnetic by Similar Outskirts"",""Magnetic (Hard) by Similar Outskirts"",""NO STOPPING US (Similar Outskirts Remix) [EXTENDED CUT] by dark cat feat. Jenny (Remixed by Similar Outskirts)"",""NO STOPPING US (Similar Outskirts Remix) [EXTENDED CUT] (Hard) by dark cat feat. Jenny (Remixed by Similar Outskirts)"",""Pyre by Similar Outskirts"",""Pyre (Hard) by Similar Outskirts"",""Pyre (Easy) by Similar Outskirts"",""Unlimited by Similar Outskirts"",""Unlimited (Hard) by Similar Outskirts"",""Unlimited (Easy) by Similar Outskirts"",""Headspace by Similar Outskirts"",""Headspace (Hard) by Similar Outskirts"",""Similar Outskirts' Chaotic Mix [EXTENDED CUT] by Similar Outskirts (Arranged by Pyro)"",""Similar Outskirts' Chaotic Mix [EXTENDED CUT] (Hard) by Similar Outskirts (Arranged by Pyro)"",""Sky Warrior by Similar Outskirts"",""Sky Warrior (Hard) by Similar Outskirts"",""Sky Warrior (Easy) by Similar Outskirts"",""GUNK by Similar Outskirts"",""GUNK (Hard) by Similar Outskirts""]"
Rush,1,Voca-Hiku,10,,65,,,,,,24,,,2,,13,,,,,,6,,"[""Bright City by keisei (feat. Hatsune Miku)"",""Bright City (Hard) by keisei (feat. Hatsune Miku)"",""Bright City (Easy) by keisei (feat. Hatsune Miku)"",""Helium by keisei (feat. Hatsune Miku)"",""Helium (Hard) by keisei (feat. Hatsune Miku)"",""I Was Watching Your Back by keisei (feat. MEIKO)"",""I Was Watching Your Back (Hard) by keisei (feat. MEIKO)"",""superexpress by keisei (feat. Hatsune Miku)"",""superexpress (Hard) by keisei (feat. Hatsune Miku)"",""tsuzuri by keisei (feat. Hatsune Miku)"",""tsuzuri (Hard) by keisei (feat. Hatsune Miku)"",""Winter Sky Discovery by keisei (feat. Hatsune Miku)"",""Winter Sky Discovery (Hard) by keisei (feat. Hatsune Miku)"",""envelope by keisei (feat. Hatsune Miku)"",""envelope (Hard) by keisei (feat. Hatsune Miku)"",""mhnmtbr by keisei (feat. Hatsune Miku)"",""mhnmtbr (Hard) by keisei (feat. Hatsune Miku)""]"
Beat,1,Undead Corporation Akemi,,,,65,,,,,,20,,,,,13,,,,,,5,"[""Everything Will Freeze (Classic Map) [EXTENDED CUT] by UNDEAD CORPORATION"",""Everything Will Freeze (Classic Map) [EXTENDED CUT] (Hard) by UNDEAD CORPORATION"",""Everything Will Freeze by UNDEAD CORPORATION"",""Everything Will Freeze (Hard) by UNDEAD CORPORATION"",""Everything Will Freeze (Easy) by UNDEAD CORPORATION"",""Embraced by the Flame (English version) by UNDEAD CORPORATION"",""Embraced by the Flame (English version) (Hard) by UNDEAD CORPORATION"",""Embraced by the Flame (English version) (Easy) by UNDEAD CORPORATION"",""Everything Will Freeze (Vocal) [EXTENDED CUT] by UNDEAD CORPORATION"",""Everything Will Freeze (Vocal) [EXTENDED CUT] (Hard) by UNDEAD CORPORATION"",""Fairy Dance by UNDEAD CORPORATION"",""Fairy Dance (Hard) by UNDEAD CORPORATION"",""The Empress (scream off version) by UNDEAD CORPORATION"",""The Empress (scream off version) (Hard) by UNDEAD CORPORATION"",""The Empress (scream off version) (Easy) by UNDEAD CORPORATION"",""Chase The Rabbit by UNDEAD CORPORATION"",""Chase The Rabbit (Hard) by UNDEAD CORPORATION"",""No Antidote by UNDEAD CORPORATION"",""No Antidote (Hard) by UNDEAD CORPORATION"",""No Antidote (Easy) by UNDEAD CORPORATION"",""Flowering Night Fever -Guitar Instrumental- by UNDEAD CORPORATION"",""Flowering Night Fever -Guitar Instrumental- (Hard) by UNDEAD CORPORATION"",""Make Me Crazy by UNDEAD CORPORATION"",""Make Me Crazy (Hard) by UNDEAD CORPORATION"",""Sad Dream by UNDEAD CORPORATION"",""Sad Dream (Hard) by UNDEAD CORPORATION"",""Sad Dream (Easy) by UNDEAD CORPORATION"",""The Dream Of A Rabbit Singing In The Night by UNDEAD CORPORATION"",""The Dream Of A Rabbit Singing In The Night (Hard) by UNDEAD CORPORATION"",""The Dream Of A Rabbit Singing In The Night (Easy) by UNDEAD CORPORATION"",""Xing Noises by UNDEAD CORPORATION"",""Xing Noises (Hard) by UNDEAD CORPORATION"",""Killing Me If You Can -Guitar Instrumental- by UNDEAD CORPORATION"",""Killing Me If You Can -Guitar Instrumental- (Hard) by UNDEAD CORPORATION""]"
Vibe,1,Reku Mochizuki,15,,,,55,,20,,,,,3,,,,11,,5,,,,"[""Artificial Affection by Reku Mochizuki"",""Artificial Affection (Hard) by Reku Mochizuki"",""ELYXiVN ELYXiUM by Reku Mochizuki"",""ELYXiVN ELYXiUM (Hard) by Reku Mochizuki"",""ELYXiVN ELYXiUM (Easy) by Reku Mochizuki"",""INFiNiTE ENERZY -Overdoze- by Reku Mochizuki"",""INFiNiTE ENERZY -Overdoze- (Hard) by Reku Mochizuki"",""7colors memories by Reku Mochizuki feat. Seyaka"",""7colors memories (Hard) by Reku Mochizuki feat. Seyaka"",""Uphoric Utopia by Reku Mochizuki"",""Uphoric Utopia (Hard) by Reku Mochizuki"",""Uphoric Utopia (Easy) by Reku Mochizuki"",""Be Right There (Game Edit) by Reku Mochizuki"",""Be Right There (Game Edit) (Hard) by Reku Mochizuki"",""Pastel Emotions by Reku Mochizuki"",""Pastel Emotions (Hard) by Reku Mochizuki"",""PHAZE UPPER by Reku Mochizuki"",""PHAZE UPPER (Hard) by Reku Mochizuki"",""Vaportrailed (Radio Edit) by Reku Mochizuki"",""Vaportrailed (Radio Edit) (Hard) by Reku Mochizuki"",""Vaportrailed (Radio Edit) (Easy) by Reku Mochizuki"",""Lapisalice by Reku Mochizuki"",""Lapisalice (Hard) by Reku Mochizuki"",""Ops:Limone by Reku Mochizuki"",""Ops:Limone (Hard) by Reku Mochizuki"",""Akanetsuki by Reku Mochizuki & Seyakate Shousan Tarou"",""Akanetsuki (Hard) by Reku Mochizuki & Seyakate Shousan Tarou"",""Moonflutter by Reku Mochizuki"",""Moonflutter (Hard) by Reku Mochizuki""]"
Vibe,1,tv room,,,20,,60,,,,16,,,,,4,,12,,,,4,,"[""Say It Back by tv room"",""Say It Back (Hard) by tv room"",""Something in the Water by tv room"",""Something in the Water (Hard) by tv room"",""Now I Do by tv room"",""Now I Do (Hard) by tv room"",""Don't Wanna by tv room"",""Don't Wanna (Hard) by tv room"",""Will There Really Be A Morning? by tv room"",""Will There Really Be A Morning? (Hard) by tv room"",""The Vocab Quiz by tv room"",""The Vocab Quiz (Hard) by tv room"",""The Long Drive by tv room"",""The Long Drive (Hard) by tv room"",""Be My Time Machine by tv room"",""Be My Time Machine (Hard) by tv room"",""On Channel 13: The tv room Mashup [EXTENDED CUT] by tv room (Arranged by Arctificial)"",""On Channel 13: The tv room Mashup [EXTENDED CUT] (Hard) by tv room (Arranged by Arctificial)"",""Say It Back (Easy) by tv room"",""The Vocab Quiz (Easy) by tv room"",""If The Sun Went Out by tv room"",""If The Sun Went Out (Hard) by tv room"",""If The Sun Went Out (Easy) by tv room"",""Lake Attitash by tv room"",""Lake Attitash (Hard) by tv room"",""Lake Attitash (Easy) by tv room"",""Dear Pet Rock by tv room"",""Dear Pet Rock (Hard) by tv room"",""Funtown USA by tv room"",""Funtown USA (Hard) by tv room"",""Manifest! Manifest! by tv room"",""Manifest! Manifest! (Hard) by tv room""]"
Chill,2,Monstercat,65,35,,,,,24,,,,,13,7,,,,,6,,,,"[""From Here by CloudNone [Monstercat]"",""From Here (Hard) by CloudNone [Monstercat]"",""Play It Cool by Terry Zhong feat. Conro [Monstercat]"",""Play It Cool (Hard) by Terry Zhong feat. Conro [Monstercat]"",""Galactic Voyage by PIXL [Monstercat]"",""Galactic Voyage (Hard) by PIXL [Monstercat]"",""Taking Me Higher by Rootkit [Monstercat]"",""Taking Me Higher (Hard) by Rootkit [Monstercat]"",""Forward by Duumu feat. EMIA [Monstercat]"",""Forward (Hard) by Duumu feat. EMIA [Monstercat]"",""New World by Hoaprox feat. Rogue [Monstercat]"",""New World (Hard) by Hoaprox feat. Rogue [Monstercat]"",""Spectrum by MUZZ [Monstercat]"",""Spectrum (Hard) by MUZZ [Monstercat]"",""Feel Your Heart by Protostar feat. Sam Tabor [Monstercat]"",""Feel Your Heart (Hard) by Protostar feat. Sam Tabor [Monstercat]"",""Let's Roll by Ephixa & Going Quantum [Monstercat]"",""Let's Roll (Hard) by Ephixa & Going Quantum [Monstercat]"",""Color by Grant feat. Juneau [Monstercat]"",""Color (Hard) by Grant feat. Juneau [Monstercat]"",""Only You by Dexter King feat. Alexis Donn [Monstercat]"",""Only You (Hard) by Dexter King feat. Alexis Donn [Monstercat]"",""St Tropez by Tony Romera & SQWAD [Monstercat]"",""St Tropez (Hard) by Tony Romera & SQWAD [Monstercat]"",""Machina by Pixel Terror [Monstercat]"",""Machina (Hard) by Pixel Terror [Monstercat]"",""Revenger by F.O.O.L [Monstercat]"",""Revenger (Hard) by F.O.O.L [Monstercat]"",""Gold by Koven [Monstercat]"",""Gold (Hard) by Koven [Monstercat]"",""Chasing Clouds by Bad Computer & Danyka Nadeau [Monstercat]"",""Chasing Clouds (Hard) by Bad Computer & Danyka Nadeau [Monstercat]"",""Hot by FWLR [Monstercat]"",""Hot (Hard) by FWLR [Monstercat]"",""Galaxies by Protostar [Monstercat]"",""Galaxies (Hard) by Protostar [Monstercat]"",""Sprite by Soupandreas [Monstercat]"",""Sprite (Hard) by Soupandreas [Monstercat]"",""I Can't by Tony Romera [Monstercat]"",""I Can't (Hard) by Tony Romera [Monstercat]"",""Internet Boy by Dion Timmer feat. Micah Martin [Monstercat]"",""Internet Boy (Hard) by Dion Timmer feat. Micah Martin [Monstercat]"",""PLAY by Tokyo Machine [Monstercat]"",""PLAY (Hard) by Tokyo Machine [Monstercat]"",""Heat Wave by Tony Romera [Monstercat]"",""Heat Wave (Hard) by Tony Romera [Monstercat]"",""Enigma by Pixel Terror & Aviella [Monstercat]"",""Enigma (Hard) by Pixel Terror & Aviella [Monstercat]"",""Escape by Noisestorm [Monstercat]"",""Escape (Hard) by Noisestorm [Monstercat]"",""Are We Still Young by Grant feat. Juneau [Monstercat]"",""Are We Still Young (Hard) by Grant feat. Juneau [Monstercat]"",""Carissa by DESERT STAR [Monstercat]"",""Carissa (Hard) by DESERT STAR [Monstercat]"",""Decoy World VIP by INTERCOM feat. Park Avenue [Monstercat]"",""Decoy World VIP (Hard) by INTERCOM feat. Park Avenue [Monstercat]"",""Drifters by Feint feat. Elizaveta [Monstercat]"",""Drifters (Hard) by Feint feat. Elizaveta [Monstercat]"",""Let's Talk by Rogue [Monstercat]"",""Let's Talk (Hard) by Rogue [Monstercat]"",""Mark Twain by Half an Orange [Monstercat]"",""Mark Twain (Hard) by Half an Orange [Monstercat]"",""Neon by F.O.O.L & Midranger [Monstercat]"",""Neon (Hard) by F.O.O.L & Midranger [Monstercat]"",""Ocean Eyes by Jay Cosmic & DESERT STAR [Monstercat]"",""Ocean Eyes (Hard) by Jay Cosmic & DESERT STAR [Monstercat]"",""Over It by Glaue [Monstercat]"",""Over It (Hard) by Glaue [Monstercat]"",""Decoy World VIP [EXTENDED CUT] by INTERCOM feat. Park Avenue [Monstercat]"",""Decoy World VIP [EXTENDED CUT] (Hard) by INTERCOM feat. Park Avenue [Monstercat]"",""Internet Boy (Easy) by Dion Timmer feat. Micah Martin [Monstercat]"",""New World (Easy) by Hoaprox feat. Rogue [Monstercat]"",""Taking Me Higher (Easy) by Rootkit [Monstercat]"",""Gold [EXTENDED CUT] by Koven [Monstercat]"",""Gold [EXTENDED CUT] (Hard) by Koven [Monstercat]"",""If We Never by Aiobahn & Vin [Monstercat]"",""If We Never (Hard) by Aiobahn & Vin [Monstercat]"",""If We Never (Easy) by Aiobahn & Vin [Monstercat]"",""We Won't Be Alone by Feint (feat. Laura Brehm) [Monstercat]"",""We Won't Be Alone (Hard) by Feint (feat. Laura Brehm) [Monstercat]"",""Change by hayve & Skyelle [Monstercat]"",""Change (Hard) by hayve & Skyelle [Monstercat]"",""Change (Easy) by hayve & Skyelle [Monstercat]"",""Rattlesnake by Rogue [Monstercat]"",""Rattlesnake (Hard) by Rogue [Monstercat]"",""LUV U NEED U by Slushii [Monstercat]"",""LUV U NEED U (Hard) by Slushii [Monstercat]"",""LUV U NEED U (Easy) by Slushii [Monstercat]"",""We Won't Be Alone (Easy) by Feint (feat. Laura Brehm) [Monstercat]"",""Worth The Lie by MUZZ & Koven & Feint [Monstercat]"",""Worth The Lie (Hard) by MUZZ & Koven & Feint [Monstercat]"",""Worth The Lie (Easy) by MUZZ & Koven & Feint [Monstercat]"",""Overkill by RIOT [Monstercat]"",""Overkill (Hard) by RIOT [Monstercat]"",""Overkill (Easy) by RIOT [Monstercat]""]"
Vibe,1,James Landino,,,,,65,,,,,16,,,,,,13,,,,,4,"[""Reaction by James Landino feat. Slyleaf"",""Reaction (Hard) by James Landino feat. Slyleaf"",""Reaction (Easy) by James Landino feat. Slyleaf"",""Birdsong by James Landino & Kabuki"",""Birdsong (Hard) by James Landino & Kabuki"",""Birdsong (Easy) by James Landino & Kabuki"",""Hide and Seek by James Landino"",""Hide and Seek (Hard) by James Landino"",""Hit That by James Landino"",""Hit That (Hard) by James Landino"",""Hit That (Easy) by James Landino"",""Shiba Island by James Landino"",""Shiba Island (Hard) by James Landino"",""Speed Future Zone by James Landino"",""Speed Future Zone (Hard) by James Landino"",""Spellbound by James Landino"",""Spellbound (Hard) by James Landino"",""Squid Rave by James Landino"",""Squid Rave (Hard) by James Landino"",""Stars by James Landino"",""Stars (Hard) by James Landino"",""Sus Funk by James Landino"",""Sus Funk (Hard) by James Landino"",""Sus Funk (Easy) by James Landino"",""Wednesday Night Wreckin by James Landino"",""Wednesday Night Wreckin (Hard) by James Landino"",""Wednesday Night Wreckin (Easy) by James Landino"",""Quantum Love by James Landino feat. punipunidenki"",""Quantum Love (Hard) by James Landino feat. punipunidenki"",""Quantum Love (Easy) by James Landino feat. punipunidenki"",""James Landino's Ultimate Gaming Mix [EXTENDED CUT] by James Landino (Arranged by superboygamer1028)"",""James Landino's Ultimate Gaming Mix [EXTENDED CUT] (Hard) by James Landino (Arranged by superboygamer1028)""]"
Rush,1,Rutra,,,55,15,,,24,,,,,,,11,3,,,6,,,,"[""Dream by Rutra"",""Dream (Hard) by Rutra"",""Wanna See A Light by Rutra"",""Wanna See A Light (Hard) by Rutra"",""Better Run by Rutra"",""Make Your Body Shake by Rutra"",""Make Your Body Shake (Hard) by Rutra"",""Take Your Time by Rutra"",""Take Your Time (Hard) by Rutra"",""Better Run (Hard) by Rutra"",""Slowly by Rutra"",""Slowly (Hard) by Rutra"",""Spooky time by Rutra"",""Spooky time (Hard) by Rutra"",""Body by Rutra"",""Body (Hard) by Rutra"",""Insight (Rutra Remix) by Haywyre (Remixed by Rutra)"",""Insight (Rutra Remix) (Hard) by Haywyre (Remixed by Rutra)"",""Vulture (Remasterized) by Rutra"",""Vulture (Remasterized) (Hard) by Rutra"",""Another day by Rutra"",""Another day (Hard) by Rutra"",""Fire by Rutra"",""Fire (Hard) by Rutra"",""Chillout by Rutra"",""Chillout (Hard) by Rutra"",""Feeling Alright by Rutra"",""Feeling Alright (Hard) by Rutra"",""Dream (Easy) by Rutra"",""Alive by Rutra X KepoWorld"",""Alive (Hard) by Rutra X KepoWorld"",""Spooky time (Easy) by Rutra"",""Rutra - Mashup (for Robeats) [EXTENDED CUT] by Rutra"",""Rutra - Mashup (for Robeats) [EXTENDED CUT] (Hard) by Rutra"",""Level Up by Rutra"",""Level Up (Hard) by Rutra"",""Alive (Easy) by Rutra X KepoWorld"",""Fire (Easy) by Rutra"",""Glow Mind by Rutra"",""Glow Mind (Hard) by Rutra"",""Glow Mind (Easy) by Rutra"",""Reflections by Rutra"",""Reflections (Hard) by Rutra"",""Vulture 2 by Rutra"",""Vulture 2 (Hard) by Rutra"",""Vulture 2 (Easy) by Rutra"",""Level Up 2 by Rutra"",""Level Up 2 (Hard) by Rutra"",""Pixel War [EXTENDED CUT] by Waterflame x Rutra"",""Pixel War [EXTENDED CUT] (Hard) by Waterflame x Rutra""]"
Rush,1,t0y0u,,25,50,,,,20,,,,,,5,10,,,,5,,,,"[""00 by garlagan"",""00 (Hard) by garlagan"",""Direction by garlagan"",""Direction (Hard) by garlagan"",""Going Back by garlagan"",""Going Back (Hard) by garlagan"",""Going Back (Easy) by garlagan"",""Holography by garlagan"",""Holography (Hard) by garlagan"",""What You Really Want by garlagan"",""What You Really Want (Hard) by garlagan"",""What You Really Want (Easy) by garlagan"",""sp0M0ky by garlagan"",""sp0M0ky (Hard) by garlagan"",""t0Y0u by garlagan"",""t0Y0u (Hard) by garlagan"",""What You Love by garlagan"",""What You Love (Hard) by garlagan"",""sp0M0ky (Easy) by garlagan"",""Who Knows by garlagan"",""Who Knows (Hard) by garlagan"",""t0Y0u (Easy) by garlagan"",""Do by garlagan"",""Do (Hard) by garlagan"",""Do (Easy) by garlagan""]"
Rush,2,8-Bit Alien,35,,60,,,,28,,,,,7,,12,,,,7,,,,"[""Farewell, My Friend by Chroma"",""Farewell, My Friend (Hard) by Chroma"",""Artificial Intelligence Bomb by naruto2413"",""Artificial Intelligence Bomb (Hard) by naruto2413"",""Together forever, my lovely lovely video game cartridges by Camellia"",""Together forever, my lovely lovely video game cartridges (Hard) by Camellia"",""Epilogue by Creo"",""Epilogue (Hard) by Creo"",""Dark Sheep [EXTENDED CUT] by Chroma"",""Dark Sheep [EXTENDED CUT] (Hard) by Chroma"",""EPIC by Tokyo Machine [Monstercat]"",""EPIC (Hard) by Tokyo Machine [Monstercat]"",""Can't Stop Our Noise [EXTENDED CUT] by coda"",""Can't Stop Our Noise [EXTENDED CUT] (Hard) by coda"",""Dark Sheep [EXTENDED CUT] (Easy) by Chroma"",""EPIC (Easy) by Tokyo Machine [Monstercat]"",""Modulation to Move the Mind by naruto2413, Aya Futatsuki & BouKiCHi"",""Modulation to Move the Mind (Hard) by naruto2413, Aya Futatsuki & BouKiCHi"",""Arcade Punk by Waterflame"",""Arcade Punk (Hard) by Waterflame"",""Happy Lucky --> Injection!! by brz1128"",""Happy Lucky --> Injection!! (Hard) by brz1128"",""Happy Lucky --> Injection!! (Easy) by brz1128"",""TRICKY_TRIPPER by brz1128"",""TRICKY_TRIPPER (Hard) by brz1128"",""TRICKY_TRIPPER (Easy) by brz1128"",""Guardian Of The Flower Offering by Chroma"",""Guardian Of The Flower Offering (Hard) by Chroma"",""Guardian Of The Flower Offering (Easy) by Chroma"",""sink to the deep sea world [EXTENDED CUT] by Chroma"",""sink to the deep sea world [EXTENDED CUT] (Hard) by Chroma"",""Hype & Love by Halv"",""Hype & Love (Hard) by Halv"",""pastel planet by AAAA"",""pastel planet (Hard) by AAAA"",""pastel planet (Easy) by AAAA"",""Chipland by nanobii"",""Chipland (Hard) by nanobii"",""Chipland (Easy) by nanobii"",""ra-mu-ne by Snail's House"",""ra-mu-ne (Hard) by Snail's House"",""Pixel Galaxy by Snail's House"",""Pixel Galaxy (Hard) by Snail's House"",""Pixel Galaxy (Easy) by Snail's House"",""a lonely stella by AAAA"",""a lonely stella (Hard) by AAAA""]"
Rush,1,Kobaryo,,15,55,,,,24,,,,,,3,11,,,,6,,,,"[""Bookmaker (2D Version) by Kobaryo"",""Bookmaker (2D Version) (Hard) by Kobaryo"",""Crunchy Crown Coaster by Kobaryo"",""Crunchy Crown Coaster (Hard) by Kobaryo"",""Eternal Ending by Kobaryo"",""Eternal Ending (Hard) by Kobaryo"",""Eternal Ending (Easy) by Kobaryo"",""Galaxy Friends [Game Edition] by Kobaryo"",""Galaxy Friends [Game Edition] (Hard) by Kobaryo"",""Galaxy Friends [Game Edition] (Easy) by Kobaryo"",""Villain Virus by Kobaryo (feat. Cametek)"",""Villain Virus (Hard) by Kobaryo (feat. Cametek)"",""Tool-Assisted Speedcore (TQBF Frame Advance RMX) [EXTENDED CUT] by Kobaryo"",""Tool-Assisted Speedcore (TQBF Frame Advance RMX) [EXTENDED CUT] (Hard) by Kobaryo"",""Glitched Character by Kobaryo"",""Glitched Character (Hard) by Kobaryo"",""Perfect Neglect by Kobaryo"",""Perfect Neglect (Hard) by Kobaryo"",""Perfect Neglect (Easy) by Kobaryo""]"
Flow,1,Ponchi,25,50,,,,,20,,,,,5,10,,,,,5,,,,"[""Delusional!! by Ponchi feat. haxchi [MisoilePunch]"",""Delusional!! (Hard) by Ponchi feat. haxchi [MisoilePunch]"",""Delusional!! (Easy) by Ponchi feat. haxchi [MisoilePunch]"",""Amnehilesie by MisomyL [MisoilePunch]"",""Amnehilesie (Hard) by MisomyL [MisoilePunch]"",""Amnehilesie (Easy) by MisomyL [MisoilePunch]"",""Anemone by Ponchi feat. haxchi [MisoilePunch]"",""Anemone (Hard) by Ponchi feat. haxchi [MisoilePunch]"",""Catalinesie by MisomyL [MisoilePunch]"",""Catalinesie (Hard) by MisomyL [MisoilePunch]"",""Inferno City by Ponchi feat. haxchi [MisoilePunch]"",""Inferno City (Hard) by Ponchi feat. haxchi [MisoilePunch]"",""Jack Out KIllER by MisoilePunch ~with takenoko~"",""Jack Out KIllER (Hard) by MisoilePunch ~with takenoko~"",""Jack Out KIllER (Easy) by MisoilePunch ~with takenoko~"",""LosTear'n HeriX by MisoilePunch ~with siromaru~"",""LosTear'n HeriX (Hard) by MisoilePunch ~with siromaru~"",""MeTear'n TruX by MisoilePunch ~with pan~"",""MeTear'n TruX (Hard) by MisoilePunch ~with pan~"",""Mesheer by MisoilePunch"",""Mesheer (Hard) by MisoilePunch"",""Mesheer (Easy) by MisoilePunch"",""Overrrload!! by MisoilePunch"",""Overrrload!! (Hard) by MisoilePunch"",""Overrrload!! (Easy) by MisoilePunch"",""Melodies With You by Ponchi feat.GUMI [MisoilePunch]"",""Melodies With You (Hard) by Ponchi feat.GUMI [MisoilePunch]"",""Melodies With You (Easy) by Ponchi feat.GUMI [MisoilePunch]"",""Our Memories by Ponchi feat.GUMI [MisoilePunch]"",""Our Memories (Hard) by Ponchi feat.GUMI [MisoilePunch]"",""Our Memories (Easy) by Ponchi feat.GUMI [MisoilePunch]"",""Time Traveler by Ponchi feat.GUMI [MisoilePunch]"",""Time Traveler (Hard) by Ponchi feat.GUMI [MisoilePunch]"",""Time Traveler (Easy) by Ponchi feat.GUMI [MisoilePunch]""]"
Chill,1,I Re:s,50,25,,,,,,,20,,,10,5,,,,,,,5,,"[""Delusional!! by Ponchi feat. haxchi [MisoilePunch]"",""Delusional!! (Hard) by Ponchi feat. haxchi [MisoilePunch]"",""Delusional!! (Easy) by Ponchi feat. haxchi [MisoilePunch]"",""Amnehilesie by MisomyL [MisoilePunch]"",""Amnehilesie (Hard) by MisomyL [MisoilePunch]"",""Amnehilesie (Easy) by MisomyL [MisoilePunch]"",""Anemone by Ponchi feat. haxchi [MisoilePunch]"",""Anemone (Hard) by Ponchi feat. haxchi [MisoilePunch]"",""Catalinesie by MisomyL [MisoilePunch]"",""Catalinesie (Hard) by MisomyL [MisoilePunch]"",""Inferno City by Ponchi feat. haxchi [MisoilePunch]"",""Inferno City (Hard) by Ponchi feat. haxchi [MisoilePunch]"",""Jack Out KIllER by MisoilePunch ~with takenoko~"",""Jack Out KIllER (Hard) by MisoilePunch ~with takenoko~"",""Jack Out KIllER (Easy) by MisoilePunch ~with takenoko~"",""LosTear'n HeriX by MisoilePunch ~with siromaru~"",""LosTear'n HeriX (Hard) by MisoilePunch ~with siromaru~"",""MeTear'n TruX by MisoilePunch ~with pan~"",""MeTear'n TruX (Hard) by MisoilePunch ~with pan~"",""Mesheer by MisoilePunch"",""Mesheer (Hard) by MisoilePunch"",""Mesheer (Easy) by MisoilePunch"",""Overrrload!! by MisoilePunch"",""Overrrload!! (Hard) by MisoilePunch"",""Overrrload!! (Easy) by MisoilePunch"",""Melodies With You by Ponchi feat.GUMI [MisoilePunch]"",""Melodies With You (Hard) by Ponchi feat.GUMI [MisoilePunch]"",""Melodies With You (Easy) by Ponchi feat.GUMI [MisoilePunch]"",""Our Memories by Ponchi feat.GUMI [MisoilePunch]"",""Our Memories (Hard) by Ponchi feat.GUMI [MisoilePunch]"",""Our Memories (Easy) by Ponchi feat.GUMI [MisoilePunch]"",""Time Traveler by Ponchi feat.GUMI [MisoilePunch]"",""Time Traveler (Hard) by Ponchi feat.GUMI [MisoilePunch]"",""Time Traveler (Easy) by Ponchi feat.GUMI [MisoilePunch]""]"
