Song Name	Fur Elise by Ludwig van Beethoven (Performed by Rousseau)
127.737	344.667138
127.737	344.667138
129.805	339.999207
129.805	339.999207
130.825	343.999220
130.825	343.999220
131.857	343.999220
131.857	370.000370
133.337	340.750332
133.337	340.750332
134.700	334.500368
134.700	334.500368
136.038	334.500368
136.038	339.999207
137.058	339.999207
137.058	330.999785
138.051	338.667344
138.051	338.667344
139.067	338.667344
139.067	330.999785
140.060	364.334119
140.060	364.334119
141.153	419.334097
141.153	419.334097
141.782	583.998443
141.782	583.998443
142.074	583.998443
142.074	711.997152
142.430	1053.999930
142.430	1053.999930
142.957	1200.000000
142.957	1200.000000


Song Data
0.770	1	4	1
0.982	2	3	1
1.142	3	4	1
1.304	4	3	1
1.466	5	4	1
1.628	6	1	1
1.790	7	3	1
1.952	8	2	1
2.114	9	1	2
2.618	10	1	3
2.618	11	2	1
2.786	12	3	1
2.954	13	4	1
3.122	14	2	2
3.626	15	2	3
3.626	16	1	1
3.794	17	2	1
3.962	18	3	1
4.130	19	4	2
4.675	20	4	3
4.675	21	1	1
4.857	22	4	1
5.021	23	3	1
5.186	24	4	1
5.351	25	3	1
5.516	26	4	1
5.681	27	1	1
5.846	28	3	1
6.010	29	2	1
6.175	30	1	2
6.677	31	1	3
6.677	32	2	1
6.845	33	3	1
7.012	34	4	1
7.180	35	2	2
7.744	36	2	3
7.744	37	1	1
7.932	38	4	1
8.120	39	3	1
8.308	40	1	2
9.009	41	1	3
9.360	42	4	1
9.526	43	3	1
9.693	44	4	1
9.860	45	3	1
10.026	46	4	1
10.193	47	1	1
10.359	48	3	1
10.526	49	2	1
10.693	50	1	2
11.210	51	1	3
11.210	52	2	1
11.382	53	3	1
11.555	54	4	1
11.727	55	2	2
12.244	56	2	3
12.244	57	1	1
12.417	58	2	1
12.589	59	3	1
12.761	60	4	2
13.320	61	4	3
13.320	62	1	1
13.506	63	4	1
13.673	64	3	1
13.841	65	4	1
14.008	66	3	1
14.176	67	4	1
14.343	68	1	1
14.511	69	3	1
14.679	70	2	1
14.846	71	1	2
15.372	72	1	3
15.372	73	2	1
15.547	74	3	1
15.723	75	4	1
15.898	76	2	2
16.424	77	2	3
16.424	78	1	1
16.600	79	4	1
16.787	80	3	1
16.975	81	1	2
17.537	82	1	3
17.537	83	2	1
17.725	84	3	1
17.912	85	1	1
18.100	86	4	2
18.637	87	4	3
18.637	88	1	1
18.816	89	4	1
18.995	90	3	1
19.174	91	2	2
19.711	92	2	3
19.711	93	1	1
19.891	94	3	1
20.070	95	2	1
20.249	96	1	2
20.791	97	1	3
20.791	98	3	1
20.971	99	4	1
21.152	100	3	1
21.333	101	2	2
21.939	102	2	3
21.939	103	3	1
22.135	104	4	1
22.527	105	1	1
22.723	106	1	1
22.919	107	4	1
23.101	108	3	1
23.284	109	4	1
23.467	110	3	1
23.650	111	4	1
23.833	112	3	1
24.016	113	4	1
24.199	114	3	1
24.382	115	4	1
24.546	116	3	1
24.711	117	4	1
24.876	118	3	1
25.041	119	4	1
25.206	120	1	1
25.371	121	3	1
25.535	122	2	1
25.700	123	1	2
26.211	124	1	3
26.211	125	2	1
26.381	126	3	1
26.552	127	4	1
26.722	128	2	2
27.234	129	2	3
27.234	130	1	1
27.404	131	2	1
27.575	132	3	1
27.745	133	4	2
28.304	134	4	3
28.304	135	1	1
28.490	136	4	1
28.657	137	3	1
28.825	138	4	1
28.992	139	3	1
29.160	140	4	1
29.327	141	1	1
29.495	142	3	1
29.663	143	2	1
29.830	144	1	2
30.341	145	1	3
30.341	146	2	1
30.511	147	3	1
30.682	148	4	1
30.852	149	2	2
31.397	150	2	3
31.397	151	1	1
31.579	152	4	1
31.761	153	3	1
31.942	154	1	2
32.508	155	1	3
32.508	156	2	1
32.696	157	3	1
32.885	158	1	1
33.074	159	4	2
33.609	160	4	3
33.609	161	1	1
33.788	162	4	1
33.966	163	3	1
34.145	164	2	2
34.665	165	2	3
34.665	166	1	1
34.838	167	3	1
35.012	168	2	1
35.185	169	1	2
35.730	170	1	3
35.730	171	3	1
35.912	172	4	1
36.094	173	3	1
36.275	174	2	2
36.830	175	2	3
36.830	176	3	1
37.015	177	4	1
37.386	178	1	1
37.592	179	1	1
37.799	180	4	1
38.003	181	3	1
38.207	182	4	1
38.380	183	3	1
38.553	184	4	1
38.727	185	3	1
38.900	186	4	1
39.074	187	3	1
39.247	188	4	1
39.414	189	3	1
39.582	190	4	1
39.749	191	3	1
39.917	192	4	1
40.084	193	1	1
40.252	194	3	1
40.420	195	2	1
40.587	196	1	2
41.098	197	1	3
41.098	198	2	1
41.268	199	3	1
41.439	200	4	1
41.609	201	2	2
42.144	202	2	3
42.144	203	1	1
42.323	204	2	1
42.501	205	3	1
42.680	206	4	2
43.216	207	4	3
43.216	208	1	1
43.394	209	4	1
43.565	210	3	1
43.736	211	4	1
43.908	212	3	1
44.079	213	4	1
44.251	214	1	1
44.422	215	3	1
44.594	216	2	1
44.765	217	1	2
45.276	218	1	3
45.276	219	2	1
45.446	220	3	1
45.617	221	4	1
45.787	222	2	2
46.322	223	2	3
46.322	224	1	1
46.501	225	4	1
46.679	226	3	1
46.858	227	1	2
47.783	228	1	3
47.783	229	4	1
48.018	230	3	1
48.253	231	2	1
48.586	232	1	2
49.345	233	1	3
49.345	234	4	1
49.630	235	3	1
49.725	236	2	1
50.138	237	1	2
50.535	238	1	3
50.535	239	4	2
50.833	240	4	3
50.833	241	3	1
50.932	242	2	1
51.131	243	4	1
51.330	244	3	1
51.528	245	2	1
51.727	246	1	1
51.926	247	4	1
52.124	248	3	2
52.522	249	3	3
52.522	250	1	2
52.820	251	1	3
52.820	252	4	1
52.919	253	3	1
53.018	254	1	1
53.118	255	2	1
53.217	256	3	1
53.316	257	4	2
54.095	258	4	3
54.095	259	1	1
54.290	260	2	1
54.484	261	3	2
55.069	262	3	3
55.069	263	1	1
55.264	264	4	2
55.458	265	4	3
55.653	266	1	2
56.480	267	1	3
56.480	268	3	2
56.894	269	3	3
56.894	270	1	1
57.112	271	2	1
57.331	272	3	1
57.549	273	4	1
57.768	274	1	1
57.986	275	2	1
58.205	276	4	2
58.675	277	4	3
58.675	278	2	2
59.146	279	2	3
59.146	280	3	2
59.616	281	3	3
59.616	282	1	1
59.852	283	2	1
60.087	284	3	1
60.322	285	4	1
60.557	286	1	1
60.793	287	2	1
61.027	288	4	2
61.511	289	4	3
61.511	290	2	2
61.996	291	2	3
61.996	292	3	2
62.481	293	3	3
62.481	294	1	2
64.845	295	1	3
66.121	296	3	1
66.381	297	4	1
66.747	298	3	1
67.164	299	4	1
68.468	300	3	1
68.797	301	4	1
68.997	302	3	1
69.197	303	4	1
69.347	304	3	1
69.497	305	4	1
69.647	306	3	1
69.847	307	4	1
69.997	308	3	1
70.147	309	4	1
70.297	310	3	1
70.447	311	4	1
70.657	312	1	1
70.822	313	3	1
70.972	314	2	1
71.122	315	1	2
71.628	316	1	3
71.628	317	2	1
71.797	318	3	1
71.966	319	4	1
72.136	320	2	2
72.615	321	2	3
72.615	322	1	1
72.774	323	2	1
72.934	324	3	1
73.093	325	4	2
73.631	326	4	3
73.631	327	1	1
73.811	328	4	1
73.991	329	3	1
74.171	330	4	1
74.330	331	3	1
74.489	332	4	1
74.648	333	1	1
74.808	334	3	1
74.967	335	2	1
75.127	336	1	2
75.617	337	1	3
75.617	338	2	1
75.780	339	3	1
75.943	340	4	1
76.107	341	2	2
76.597	342	2	3
76.597	343	1	1
76.760	344	4	1
76.923	345	3	1
77.087	346	1	2
77.625	347	1	3
77.625	348	2	1
77.804	349	3	1
77.983	350	1	1
78.163	351	4	2
78.653	352	4	3
78.653	353	1	1
78.816	354	4	1
78.979	355	3	1
79.143	356	2	2
79.666	357	2	3
79.666	358	1	1
79.840	359	3	1
80.015	360	2	1
80.190	361	1	2
80.709	362	1	3
80.709	363	3	1
80.883	364	4	1
81.056	365	3	1
81.230	366	2	2
81.794	367	2	3
81.794	368	3	1
81.982	369	4	1
82.359	370	1	1
82.547	371	1	1
82.722	372	4	1
82.896	373	3	1
83.071	374	4	1
83.246	375	3	1
83.421	376	4	1
83.596	377	3	1
83.771	378	4	1
83.946	379	3	1
84.121	380	4	1
84.286	381	3	1
84.450	382	4	1
84.614	383	3	1
84.779	384	4	1
84.943	385	1	1
85.107	386	3	1
85.271	387	2	1
85.436	388	1	2
85.978	389	1	3
85.978	390	2	1
86.145	391	3	1
86.312	392	4	1
86.437	393	2	2
86.954	394	2	3
86.954	395	1	1
87.127	396	2	1
87.299	397	3	1
87.472	398	4	2
87.973	399	4	3
87.973	400	1	1
88.141	401	4	1
88.308	402	3	1
88.476	403	4	1
88.644	404	3	1
88.813	405	4	1
88.982	406	1	1
89.151	407	3	1
89.320	408	2	1
89.490	409	1	2
89.991	410	1	3
89.991	411	2	1
90.159	412	3	1
90.326	413	4	1
90.493	414	2	2
90.995	415	2	3
90.995	416	1	1
91.163	417	4	1
91.341	418	3	1
91.520	419	2	2
92.683	420	2	3
92.683	421	3	2
93.824	422	3	3
93.824	423	2	2
94.593	424	2	3
94.593	425	1	1
94.785	426	4	1
94.978	427	3	2
95.779	428	3	3
95.779	429	4	2
96.180	430	4	3
96.180	431	2	2
97.317	432	2	3
97.317	433	1	2
98.104	434	1	3
98.104	435	2	1
98.301	436	3	1
98.498	437	2	2
99.284	438	2	3
99.284	439	1	2
99.678	440	1	3
99.678	441	2	2
100.080	442	2	3
100.080	443	4	2
100.483	444	4	3
100.483	445	3	2
100.886	446	3	3
100.886	447	2	2
102.106	448	2	3
102.105	449	3	2
103.306	450	3	3
103.306	451	2	2
104.078	452	2	3
104.078	453	1	1
104.271	454	4	1
104.464	455	3	2
105.274	456	3	3
105.274	457	4	2
105.787	458	4	3
105.787	459	2	2
107.020	460	2	3
107.020	461	1	2
107.828	462	1	3
107.828	463	2	1
108.030	464	3	1
108.233	465	2	2
109.009	466	2	3
109.009	467	3	2
109.398	468	3	3
109.398	469	2	2
110.239	470	2	3
110.239	471	1	2
110.705	472	1	3
110.706	473	2	2
111.377	474	2	3
112.048	475	3	2
112.707	476	3	3
113.367	477	1	2
114.147	478	1	3
113.367	479	2	2
114.147	480	2	3
114.147	481	3	2
114.538	482	3	3
114.537	483	1	2
115.259	484	1	3
114.538	485	2	2
115.259	486	2	3
115.259	487	3	2
115.620	488	3	3
115.620	489	2	2
116.368	490	2	3
115.621	491	4	2
116.368	492	4	3
116.368	493	3	2
116.790	494	3	3
116.789	495	2	2
118.941	496	2	3
116.790	497	1	2
120.959	498	1	3
120.958	499	4	1
121.148	500	1	1
121.337	501	3	1
121.526	502	2	1
121.716	503	1	2
122.224	504	1	3
122.224	505	2	1
122.393	506	3	1
122.562	507	4	1
122.732	508	2	2
123.216	509	2	3
123.216	510	1	1
123.377	511	2	1
123.538	512	3	1
123.700	513	4	2
124.230	514	4	3
124.230	515	1	1
124.406	516	4	1
124.583	517	3	1
124.760	518	4	1
124.921	519	3	1
125.082	520	4	1
125.243	521	1	1
125.404	522	3	1
125.565	523	2	1
125.726	524	1	2
126.221	525	1	3
126.221	526	2	1
126.387	527	3	1
126.552	528	4	1
126.718	529	2	2
127.227	530	2	3
127.227	531	1	1
127.397	532	4	1
127.567	533	3	1
127.737	534	1	2
128.254	535	1	3
128.254	536	2	1
128.426	537	3	1
128.598	538	1	1
128.771	539	4	2
129.288	540	4	3
129.288	541	1	1
129.460	542	4	1
129.632	543	3	1
129.805	544	2	2
130.314	545	2	3
130.314	546	1	1
130.484	547	3	1
130.654	548	2	1
130.825	549	1	2
131.340	550	1	3
131.340	551	3	1
131.512	552	4	1
131.684	553	3	1
131.857	554	2	2
132.412	555	2	3
132.412	556	3	1
132.597	557	4	1
132.967	558	1	1
133.152	559	1	1
133.337	560	4	1
133.507	561	3	1
133.677	562	4	1
133.848	563	3	1
134.018	564	4	1
134.188	565	3	1
134.359	566	4	1
134.529	567	3	1
134.700	568	4	1
134.867	569	3	1
135.034	570	4	1
135.201	571	3	1
135.369	572	4	1
135.536	573	1	1
135.703	574	3	1
135.870	575	2	1
136.038	576	1	2
136.547	577	1	3
136.547	578	2	1
136.717	579	3	1
136.887	580	4	1
137.057	581	2	2
137.554	582	2	3
137.554	583	1	1
137.719	584	2	1
137.885	585	3	1
138.051	586	4	2
138.559	587	4	3
138.559	588	1	1
138.728	589	4	1
138.897	590	3	1
139.067	591	4	1
139.232	592	3	1
139.397	593	4	1
139.563	594	1	1
139.728	595	3	1
139.894	596	2	1
140.060	597	1	2
140.606	598	1	3
140.606	599	2	1
140.788	600	3	1
140.970	601	4	1
141.153	602	2	2
141.782	603	2	3
141.782	604	1	1
142.074	605	4	1
142.429	606	3	1
142.957	607	1	2
145.957	608	1	3
