Song Name	Chroma 'Heavenly' Mashup [EXTENDED CUT] by Chroma (Arranged by CosmosGalaxies & iiJohn0)
17.054	69	1	3
17.388	70	3	2
17.388	71	2	3
17.721	72	1	1
17.721	73	4	2
17.721	74	3	3
18.054	75	2	2
18.054	76	4	3
18.221	77	3	1
18.388	78	1	2
18.388	79	4	1
18.388	80	2	3
18.721	81	2	1
19.054	82	3	1
19.054	83	4	1
19.054	84	1	3
19.221	85	2	2
19.388	86	3	2
19.388	87	2	3
19.554	88	4	2
19.554	89	3	3
19.721	90	1	1
19.721	91	3	2
19.721	92	4	3
19.888	93	2	2
19.888	94	3	3
20.054	95	1	2
20.054	96	2	3
20.388	97	3	1
20.388	98	4	1
20.888	99	2	1
21.054	100	3	1
21.054	101	4	2
21.054	102	1	3
21.388	103	2	1
21.721	104	1	1
21.888	105	2	1
22.054	106	3	1
22.221	107	1	1
22.388	108	2	2
22.388	109	3	1
22.388	110	4	3
22.721	111	3	2
22.721	112	2	3
23.054	113	1	1
23.054	114	4	2
23.054	115	3	3
23.388	116	2	2
23.388	117	4	3
23.554	118	3	1
23.721	119	1	2
23.721	120	4	1
23.721	121	2	3
24.054	122	2	1
24.388	123	3	1
24.388	124	4	1
24.388	125	1	3
24.554	126	2	2
24.721	127	3	2
24.721	128	2	3
24.888	129	4	2
24.888	130	3	3
25.054	131	1	1
25.054	132	4	3
25.138	133	2	1
25.221	134	3	2
25.388	135	1	2
25.388	136	3	3
25.721	137	3	1
25.721	138	4	1
25.721	139	1	3
25.888	140	1	2
26.054	141	2	2
26.054	142	1	3
26.221	143	3	2
26.221	144	2	3
26.388	145	1	2
26.388	146	4	1
26.388	147	3	3
26.721	148	2	2
26.721	149	1	3
26.888	150	3	1
27.054	151	1	1
27.054	152	4	2
27.054	153	2	3
27.388	154	3	1
27.721	155	1	2
27.721	156	2	1
27.721	157	4	3
28.054	158	4	1
28.388	159	2	1
28.388	160	3	1
28.721	161	2	2
28.721	162	1	3
28.888	163	3	2
28.888	164	2	3
29.054	165	1	1
29.054	166	4	2
29.054	167	3	3
29.388	168	3	1
29.721	169	1	1
29.721	170	2	1
30.054	171	2	1
30.388	172	1	2
30.388	173	3	1
30.388	174	4	3
30.721	175	2	1
31.054	176	3	1
31.054	177	4	1
31.554	178	2	1
31.721	179	3	1
31.721	180	4	1
32.054	181	3	1
32.388	182	2	1
32.388	183	4	1
32.554	184	4	1
32.721	185	2	1
32.888	186	2	1
33.054	187	2	1
33.054	188	3	1
33.054	189	4	1
33.054	190	1	3
33.721	191	3	2
34.054	192	2	1
34.054	193	3	3
34.221	194	4	1
34.388	195	3	2
34.721	196	1	1
34.721	197	3	3
34.888	198	2	2
35.054	199	4	1
35.388	200	1	2
35.388	201	2	3
35.721	202	3	1
35.721	203	4	1
35.721	204	1	3
36.388	205	3	1
36.554	206	1	1
36.721	207	2	1
36.888	208	3	1
37.054	209	1	1
37.221	210	3	2
37.388	211	2	1
37.554	212	4	2
37.554	213	3	3
37.721	214	1	1
38.054	215	3	1
38.388	216	1	1
38.388	217	2	1
38.388	218	4	3
39.054	219	4	2
39.221	220	3	2
39.221	221	4	3
39.388	222	1	2
39.388	223	3	3
39.721	224	2	1
39.721	225	4	1
39.721	226	1	3
40.054	227	1	1
40.054	228	3	1
40.388	229	4	2
40.554	230	3	2
40.554	231	4	3
40.721	232	1	2
40.721	233	3	3
41.054	234	2	1
41.054	235	4	1
41.054	236	1	3
41.721	237	2	2
42.054	238	1	2
42.054	239	2	3
42.388	240	4	1
42.388	241	1	3
42.554	242	2	2
42.721	243	1	1
42.721	244	2	3
42.888	245	4	2
43.054	246	3	1
43.054	247	4	3
43.221	248	1	2
43.388	249	2	1
43.721	250	3	1
43.721	251	4	1
43.721	252	1	3
44.388	253	3	1
44.554	254	1	1
44.721	255	2	1
44.888	256	4	1
45.054	257	3	2
45.388	258	1	1
45.388	259	3	3
45.554	260	2	2
45.721	261	4	1
46.054	262	1	2
46.054	263	2	3
46.388	264	3	1
46.388	265	4	1
46.388	266	1	3
47.054	267	3	1
47.221	268	1	1
47.388	269	2	1
47.554	270	3	1
47.721	271	1	1
47.888	272	3	2
48.054	273	2	1
48.221	274	4	2
48.221	275	3	3
48.388	276	1	1
48.721	277	3	1
49.054	278	1	1
49.054	279	2	1
49.054	280	4	3
49.721	281	4	2
49.888	282	3	2
49.888	283	4	3
50.054	284	1	2
50.054	285	3	3
50.388	286	2	1
50.388	287	4	1
50.388	288	1	3
50.721	289	1	1
50.721	290	3	1
51.054	291	4	2
51.221	292	3	2
51.221	293	4	3
51.388	294	1	2
51.388	295	3	3
51.721	296	2	1
51.721	297	4	1
51.721	298	1	3
52.054	299	3	1
52.221	300	2	1
52.388	301	1	2
52.554	302	1	3
52.721	303	3	1
52.888	304	2	1
53.054	305	4	2
53.388	306	1	1
53.388	307	4	3
53.554	308	2	1
53.721	309	4	1
53.888	310	3	1
54.054	311	2	1
54.221	312	1	1
54.388	313	4	2
54.564	314	1	2
54.764	315	2	1
54.764	316	3	1
54.764	317	1	3
54.764	318	4	3
54.897	319	1	1
55.005	320	4	1
55.088	321	2	1
55.251	322	3	1
55.251	323	4	1
55.501	324	3	1
55.584	325	4	1
55.667	326	1	1
55.751	327	3	1
55.917	328	1	1
55.917	329	4	1
56.251	330	2	1
56.334	331	3	1
56.417	332	4	1
56.584	333	1	1
56.584	334	2	1
56.917	335	4	1
57.084	336	2	1
57.167	337	3	1
57.251	338	1	1
57.251	339	4	1
57.417	340	2	1
57.584	341	3	1
57.584	342	4	1
57.751	343	1	1
57.917	344	2	1
57.917	345	4	1
58.251	346	3	1
58.251	347	4	1
58.417	348	2	1
58.501	349	3	1
58.584	350	1	1
58.584	351	4	1
58.917	352	3	1
58.917	353	4	1
59.084	354	2	1
59.167	355	3	1
59.250	356	1	1
59.250	357	4	1
59.584	358	3	1
59.584	359	4	1
59.834	360	2	1
59.834	361	3	1
60.084	362	1	1
60.084	363	2	1
60.250	364	4	2
60.917	365	1	2
61.417	366	3	2
61.417	367	4	3
61.750	368	4	1
61.750	369	1	3
61.750	370	3	3
61.862	371	2	1
61.973	372	1	1
62.072	373	3	1
62.072	374	4	1
62.238	375	1	1
62.322	376	4	1
62.405	377	2	1
62.572	378	3	1
62.572	379	4	1
62.822	380	3	1
62.905	381	4	1
62.988	382	1	1
63.072	383	3	1
63.238	384	1	1
63.238	385	4	1
63.572	386	2	1
63.655	387	3	1
63.738	388	4	1
63.905	389	1	1
63.905	390	2	1
64.238	391	4	1
64.405	392	2	1
64.488	393	3	1
64.572	394	1	1
64.572	395	4	1
64.738	396	2	1
64.905	397	3	1
64.905	398	4	1
65.072	399	1	1
65.238	400	2	1
65.238	401	4	1
65.572	402	3	1
65.572	403	4	1
65.738	404	2	1
65.822	405	3	1
65.905	406	1	1
65.905	407	4	1
66.238	408	3	1
66.238	409	4	1
66.405	410	2	1
66.488	411	3	1
66.572	412	1	1
66.572	413	4	1
66.905	414	3	1
66.905	415	4	1
67.155	416	2	1
67.155	417	3	1
67.405	418	1	1
67.405	419	2	1
67.572	420	4	2
68.238	421	1	2
68.738	422	3	2
68.738	423	4	3
69.071	424	4	1
69.071	425	1	3
69.071	426	3	3
69.155	427	2	1
69.259	428	1	1
69.405	429	3	1
69.405	430	4	1
69.655	431	1	1
69.655	432	2	1
69.905	433	3	1
69.905	434	4	1
70.127	435	1	1
70.127	436	2	1
70.349	437	3	1
70.349	438	4	1
70.571	439	1	1
70.571	440	2	1
70.738	441	3	1
70.738	442	4	1
70.905	443	1	1
70.905	444	2	1
71.009	445	3	1
71.009	446	4	1
71.113	447	1	1
71.113	448	2	1
71.405	449	1	2
71.405	450	4	1
71.533	451	1	3
71.597	452	2	1
71.597	453	3	2
71.725	454	3	3
71.789	455	1	1
71.789	456	4	2
71.917	457	4	3
72.655	458	4	1
72.805	459	1	2
72.805	460	2	2
73.510	461	3	2
75.785	462	1	3
75.785	463	2	3
75.785	464	3	3
76.074	465	4	1
76.330	466	2	2
76.522	467	1	1
76.522	468	2	3
76.599	469	4	1
76.791	470	1	2
77.022	471	3	2
77.022	472	1	3
77.253	473	1	1
77.253	474	4	2
77.253	475	3	3
77.453	476	3	1
77.553	477	4	3
77.653	478	1	1
77.653	479	4	2
77.853	480	3	1
77.986	481	1	2
77.986	482	2	1
77.986	483	4	3
78.253	484	4	1
78.453	485	2	1
78.453	486	4	1
78.653	487	3	1
78.853	488	4	1
79.053	489	2	1
79.253	490	3	1
79.253	491	4	1
79.253	492	1	3
79.453	493	1	1
79.655	494	2	2
79.788	495	1	1
79.788	496	2	3
79.855	497	4	1
80.055	498	2	1
80.055	499	4	1
80.255	500	3	1
80.455	501	1	1
80.455	502	4	2
80.655	503	3	1
80.788	504	4	3
80.855	505	1	1
80.855	506	4	2
81.055	507	3	1
81.188	508	1	2
81.188	509	2	1
81.188	510	4	3
81.455	511	4	1
81.655	512	2	1
81.655	513	4	1
81.855	514	3	1
82.055	515	4	1
82.255	516	2	1
82.388	517	4	1
82.455	518	3	1
82.455	519	1	3
82.588	520	2	1
82.655	521	1	1
82.855	522	2	2
82.988	523	1	1
82.988	524	2	3
83.055	525	4	1
83.255	526	2	1
83.255	527	4	1
83.455	528	3	1
83.655	529	1	1
83.655	530	4	2
83.855	531	3	1
83.955	532	4	3
84.055	533	1	1
84.055	534	4	2
84.255	535	3	1
84.388	536	1	2
84.388	537	2	1
84.388	538	4	3
84.655	539	4	1
84.855	540	2	1
84.855	541	4	1
85.055	542	3	1
85.255	543	4	1
85.455	544	2	1
85.655	545	3	1
85.655	546	4	1
85.655	547	1	3
85.855	548	1	1
86.055	549	2	2
86.188	550	1	1
86.188	551	2	3
86.255	552	4	1
86.455	553	2	1
86.455	554	4	1
86.655	555	3	1
86.855	556	1	1
86.855	557	4	2
87.055	558	3	1
87.155	559	4	3
87.255	560	1	1
87.255	561	4	2
87.455	562	3	1
87.588	563	1	2
87.588	564	2	1
87.588	565	4	3
87.855	566	4	1
88.055	567	2	1
88.055	568	3	1
88.255	569	4	1
88.455	570	3	2
88.455	571	1	3
88.588	572	2	1
88.655	573	1	1
88.788	574	2	1
88.855	575	1	1
88.855	576	4	1
88.855	577	3	3
89.255	578	3	1
89.588	579	2	1
89.655	580	1	1
89.788	581	3	1
89.855	582	2	1
89.988	583	3	1
90.055	584	4	2
90.388	585	1	1
90.388	586	4	3
90.455	587	2	1
90.588	588	4	1
90.655	589	3	1
90.788	590	2	2
91.655	591	4	2
91.655	592	2	3
92.055	593	3	2
92.055	594	4	3
92.455	595	2	1
92.455	596	3	3
92.788	597	2	1
92.855	598	1	1
92.988	599	3	1
93.055	600	2	1
93.188	601	3	1
93.255	602	4	2
93.588	603	2	1
93.588	604	4	3
93.655	605	1	1
93.788	606	3	1
93.855	607	4	1
93.988	608	1	2
94.855	609	4	2
94.855	610	1	3
95.188	611	2	1
95.255	612	1	1
95.388	613	2	1
95.455	614	1	1
95.655	615	3	1
95.655	616	4	3
95.855	617	4	1
95.988	618	2	1
96.055	619	1	1
96.188	620	3	1
96.255	621	2	1
96.388	622	3	1
96.455	623	4	2
96.655	624	3	1
96.788	625	1	1
96.788	626	4	3
96.855	627	2	1
96.988	628	4	1
97.055	629	3	1
97.188	630	2	2
97.455	631	4	1
97.655	632	1	1
97.655	633	3	1
97.855	634	3	1
98.055	635	4	2
98.055	636	2	3
98.255	637	1	1
98.455	638	2	1
98.455	639	3	2
98.455	640	4	3
98.655	641	1	1
98.855	642	2	1
98.855	643	3	3
99.055	644	4	1
99.188	645	2	1
99.255	646	1	1
99.388	647	3	1
99.455	648	2	1
99.588	649	3	1
99.655	650	4	2
99.855	651	1	1
99.988	652	2	1
99.988	653	4	3
100.055	654	1	1
100.188	655	3	1
100.255	656	4	1
100.388	657	1	1
100.521	658	3	1
100.655	659	2	1
100.788	660	4	1
100.855	661	1	1
101.055	662	3	1
101.255	663	4	2
101.455	664	1	1
101.521	665	2	1
101.588	666	3	1
101.655	667	1	1
101.855	668	1	1
101.855	669	4	3
101.921	670	2	1
101.988	671	3	1
102.055	672	1	1
102.055	673	4	1
102.388	674	2	1
102.455	675	1	1
102.455	676	4	1
102.588	677	3	1
102.655	678	2	1
102.788	679	3	1
102.855	680	4	2
103.055	681	3	1
103.188	682	1	1
103.188	683	4	3
103.255	684	2	1
103.255	685	3	1
103.388	686	4	1
103.455	687	3	1
103.588	688	2	2
103.655	689	1	1
103.655	690	2	3
103.855	691	4	1
104.055	692	1	2
104.055	693	2	1
104.255	694	4	1
104.255	695	1	3
104.388	696	2	1
104.455	697	3	1
104.588	698	2	2
104.855	699	1	1
104.855	700	4	1
104.855	701	2	3
105.055	702	3	2
105.255	703	4	1
105.255	704	3	3
105.455	705	3	1
105.588	706	2	1
105.655	707	1	1
105.655	708	4	1
105.788	709	3	1
105.855	710	2	1
105.988	711	3	1
106.055	712	4	2
106.255	713	3	1
106.388	714	1	1
106.388	715	4	3
106.455	716	2	1
106.455	717	3	1
106.588	718	4	1
106.655	719	3	1
106.788	720	1	2
106.855	721	2	1
106.855	722	1	3
106.988	723	3	1
107.055	724	4	1
107.188	725	3	1
107.255	726	1	1
107.255	727	2	1
107.388	728	3	1
107.455	729	2	2
107.655	730	1	1
107.655	731	4	2
107.655	732	2	3
107.988	733	2	1
108.055	734	1	1
108.188	735	3	1
108.255	736	2	1
108.455	737	1	2
108.455	738	4	3
108.655	739	1	3
108.788	740	2	1
108.855	741	1	1
108.855	742	4	1
108.988	743	3	1
109.055	744	2	1
109.188	745	3	1
109.255	746	4	2
109.455	747	3	1
109.588	748	1	1
109.588	749	4	3
109.655	750	2	1
109.655	751	3	1
109.788	752	4	1
109.855	753	3	1
109.988	754	2	2
110.055	755	1	1
110.055	756	2	3
110.255	757	4	1
110.455	758	1	1
110.455	759	2	1
110.588	760	3	1
110.655	761	4	2
110.788	762	1	1
110.788	763	4	3
110.988	764	2	2
111.255	765	1	1
111.255	766	4	1
111.255	767	2	3
111.455	768	3	2
111.655	769	4	1
111.655	770	3	3
111.855	771	1	1
111.988	772	2	1
112.055	773	1	1
112.055	774	4	1
112.188	775	3	1
112.255	776	2	1
112.388	777	3	1
112.455	778	4	2
112.655	779	3	1
112.788	780	1	1
112.788	781	4	3
112.855	782	2	1
112.855	783	3	1
112.988	784	4	1
113.055	785	3	1
113.188	786	1	2
113.255	787	4	1
113.255	788	1	3
113.455	789	2	1
113.588	790	3	1
113.655	791	1	1
113.655	792	4	1
113.721	793	2	1
113.788	794	3	1
113.855	795	4	1
113.988	796	2	1
114.055	797	3	2
114.055	798	4	2
114.655	799	3	3
114.655	800	4	3
114.855	801	1	2
114.855	802	2	1
115.188	803	3	1
115.255	804	2	1
115.388	805	4	1
115.455	806	3	1
115.588	807	2	1
115.655	808	3	1
115.655	809	4	2
115.655	810	1	3
115.988	811	2	1
116.055	812	1	1
116.188	813	2	1
116.255	814	1	1
116.388	815	3	1
116.455	816	1	2
116.455	817	2	1
116.455	818	4	3
116.788	819	3	1
116.855	820	4	1
116.988	821	3	1
117.055	822	2	1
117.188	823	3	1
117.255	824	2	1
117.255	825	4	2
117.255	826	1	3
117.455	827	3	1
117.521	828	2	1
117.588	829	1	1
117.655	830	3	2
117.921	831	1	2
117.921	832	2	2
117.921	833	3	3
117.921	834	4	3
118.255	835	3	1
118.255	836	4	1
118.255	837	1	3
118.255	838	2	3
118.388	839	2	1
118.455	840	1	1
118.555	841	3	2
118.655	842	4	1
118.655	843	3	3
118.788	844	2	1
118.855	845	1	1
118.955	846	3	2
119.055	847	4	1
119.055	848	3	3
119.188	849	2	1
119.255	850	1	1
119.355	851	3	2
119.455	852	4	1
119.455	853	3	3
119.588	854	2	1
119.655	855	1	1
119.755	856	3	2
119.855	857	4	1
119.855	858	3	3
119.988	859	2	1
120.055	860	1	2
120.188	861	3	1
120.255	862	4	1
120.255	863	1	3
120.355	864	2	2
120.455	865	3	1
120.555	866	1	1
120.555	867	2	3
120.655	868	3	2
120.855	869	1	1
120.921	870	4	2
120.921	871	3	3
121.055	872	2	1
121.255	873	1	2
121.255	874	4	3
121.455	875	4	1
121.588	876	2	1
121.655	877	3	1
121.855	878	4	1
121.988	879	2	1
122.055	880	3	1
122.255	881	4	1
122.255	882	1	3
122.321	883	3	1
122.388	884	2	1
122.455	885	1	1
122.521	886	4	1
122.655	887	2	2
122.788	888	1	1
122.788	889	2	3
122.855	890	3	2
122.988	891	3	3
123.055	892	1	1
123.055	893	4	2
123.188	894	4	3
123.255	895	2	1
123.355	896	1	2
123.455	897	4	1
123.555	898	3	1
123.655	899	2	1
123.755	900	4	1
123.855	901	3	1
123.988	902	2	1
124.055	903	4	1
124.055	904	1	3
124.188	905	3	1
124.255	906	1	1
124.388	907	2	1
124.455	908	3	1
124.655	909	3	1
124.655	910	4	1
124.788	911	2	1
124.855	912	1	1
124.955	913	3	2
125.055	914	4	1
125.055	915	3	3
125.188	916	2	1
125.255	917	1	1
125.355	918	3	2
125.455	919	4	1
125.455	920	3	3
125.588	921	2	1
125.655	922	1	1
125.755	923	3	2
125.855	924	4	1
125.855	925	3	3
125.988	926	2	1
126.055	927	1	1
126.155	928	3	2
126.255	929	4	1
126.255	930	3	3
126.388	931	2	1
126.455	932	1	2
126.588	933	3	1
126.655	934	4	1
126.655	935	1	3
126.755	936	2	2
126.855	937	3	1
126.955	938	1	1
126.955	939	2	3
127.055	940	3	2
127.255	941	1	1
127.321	942	4	2
127.321	943	3	3
127.455	944	2	1
127.655	945	1	2
127.655	946	4	3
127.855	947	4	1
127.988	948	2	1
128.055	949	3	1
128.255	950	4	1
128.388	951	2	1
128.455	952	3	1
128.655	953	4	1
128.655	954	1	3
128.721	955	3	1
128.788	956	2	1
128.855	957	1	1
128.921	958	4	1
129.055	959	2	2
129.188	960	1	1
129.188	961	2	3
129.255	962	3	2
129.388	963	3	3
129.455	964	1	1
129.455	965	4	2
129.588	966	4	3
129.655	967	2	1
129.755	968	4	2
129.855	969	1	1
129.955	970	2	1
130.055	971	3	1
130.155	972	1	1
130.255	973	2	1
130.388	974	3	1
130.455	975	1	1
130.455	976	4	3
130.588	977	3	1
130.655	978	2	1
130.788	979	4	1
130.855	980	3	1
131.029	981	1	1
131.029	982	2	1
131.029	983	4	1
131.168	984	1	1
131.307	985	3	2
131.446	986	2	2
131.446	987	3	3
131.585	988	4	1
131.725	989	1	1
131.725	990	2	3
131.864	991	3	2
132.003	992	2	2
132.003	993	3	3
132.142	994	3	1
132.142	995	4	1
132.281	996	1	1
132.281	997	2	3
132.421	998	4	2
132.560	999	3	2
132.560	1000	4	3
132.699	1001	1	1
132.838	1002	2	1
132.838	1003	3	3
132.977	1004	4	2
133.117	1005	3	2
133.117	1006	4	3
133.256	1007	1	1
133.256	1008	4	1
133.395	1009	3	3
133.534	1010	2	2
133.674	1011	1	1
133.674	1012	2	3
133.813	1013	3	2
133.952	1014	2	1
133.952	1015	3	3
134.091	1016	4	1
134.230	1017	2	1
134.370	1018	2	1
134.370	1019	4	1
134.509	1020	1	1
134.648	1021	1	2
134.787	1022	3	1
134.926	1023	4	1
134.926	1024	1	3
135.066	1025	2	1
135.205	1026	1	1
135.344	1027	3	1
135.483	1028	1	1
135.483	1029	4	1
135.622	1030	2	1
135.692	1031	3	1
135.762	1032	4	1
135.901	1033	3	1
135.971	1034	2	1
136.041	1035	1	1
136.180	1036	3	1
136.320	1037	4	2
136.460	1038	3	2
136.460	1039	4	3
136.599	1040	2	1
136.599	1041	4	1
136.739	1042	1	1
136.739	1043	3	3
136.878	1044	1	2
137.018	1045	4	1
137.158	1046	3	1
137.158	1047	1	3
137.297	1048	2	1
137.437	1049	4	1
137.576	1050	1	1
137.716	1051	2	1
137.716	1052	3	1
137.856	1053	4	1
137.925	1054	3	1
137.995	1055	2	1
138.135	1056	1	1
138.205	1057	2	1
138.274	1058	3	1
138.414	1059	4	1
138.484	1060	3	1
138.554	1061	2	1
138.693	1062	3	2
138.833	1063	2	1
138.833	1064	4	1
138.972	1065	1	1
138.972	1066	3	3
139.112	1067	1	2
139.252	1068	3	1
139.391	1069	4	1
139.531	1070	2	1
139.670	1071	3	1
139.810	1072	4	1
139.950	1073	2	1
139.950	1074	3	1
139.950	1075	1	3
140.089	1076	1	1
140.229	1077	3	2
140.368	1078	2	2
140.368	1079	3	3
140.508	1080	4	1
140.648	1081	1	1
140.648	1082	2	3
140.787	1083	3	2
140.927	1084	2	2
140.927	1085	3	3
141.066	1086	3	1
141.066	1087	4	1
141.206	1088	1	1
141.206	1089	2	3
141.346	1090	4	2
141.485	1091	3	2
141.485	1092	4	3
141.625	1093	1	1
141.764	1094	2	1
141.764	1095	3	3
141.904	1096	4	2
142.044	1097	3	2
142.044	1098	4	3
142.183	1099	1	1
142.183	1100	4	1
142.323	1101	3	3
142.462	1102	2	2
142.602	1103	1	1
142.602	1104	2	3
142.742	1105	3	2
142.881	1106	2	1
142.881	1107	3	3
143.021	1108	4	1
143.160	1109	2	1
143.300	1110	1	1
143.300	1111	4	1
143.440	1112	3	1
143.509	1113	2	1
143.579	1114	1	2
143.719	1115	4	1
143.858	1116	3	1
143.858	1117	1	3
143.998	1118	1	1
144.138	1119	2	1
144.277	1120	4	1
144.417	1121	1	1
144.417	1122	3	1
144.556	1123	2	1
144.626	1124	3	1
144.696	1125	4	1
144.836	1126	2	1
144.905	1127	3	1
144.975	1128	4	1
145.115	1129	1	1
145.254	1130	2	1
145.394	1131	3	1
145.534	1132	1	1
145.534	1133	4	1
145.673	1134	3	1
145.743	1135	2	1
145.813	1136	1	1
145.952	1137	3	1
146.022	1138	2	1
146.092	1139	1	1
146.232	1140	4	1
146.371	1141	3	1
146.511	1142	2	1
146.650	1143	1	1
146.650	1144	4	1
146.790	1145	2	1
146.860	1146	3	1
146.930	1147	4	1
147.069	1148	2	1
147.139	1149	3	1
147.209	1150	4	1
147.348	1151	1	1
147.488	1152	2	1
147.628	1153	4	2
147.767	1154	1	1
147.767	1155	3	1
147.907	1156	2	1
148.046	1157	3	1
148.186	1158	2	1
148.326	1159	1	2
148.326	1160	4	3
148.605	1161	3	2
148.884	1162	4	1
148.884	1163	1	3
148.884	1164	3	3
149.024	1165	2	1
149.163	1166	4	1
149.303	1167	2	1
149.442	1168	4	1
149.582	1169	2	1
149.722	1170	4	1
149.861	1171	2	1
150.001	1172	4	1
150.140	1173	2	1
150.280	1174	4	1
150.420	1175	2	1
150.559	1176	4	1
150.699	1177	1	1
150.838	1178	2	1
150.978	1179	4	1
151.118	1180	3	2
151.397	1181	1	1
151.397	1182	3	3
151.536	1183	2	2
151.676	1184	3	1
151.816	1185	1	1
151.816	1186	2	3
151.955	1187	4	1
152.095	1188	3	2
152.234	1189	1	1
152.374	1190	2	1
152.514	1191	4	1
152.653	1192	1	1
152.793	1193	2	1
152.932	1194	4	1
153.072	1195	1	1
153.072	1196	3	3
153.142	1197	2	1
153.212	1198	3	1
153.281	1199	4	1
153.351	1200	1	1
153.491	1201	3	1
153.630	1202	1	1
153.770	1203	3	1
153.910	1204	1	1
154.049	1205	3	1
154.189	1206	1	1
154.328	1207	3	1
154.468	1208	1	1
154.608	1209	3	1
154.747	1210	1	1
154.887	1211	3	1
155.026	1212	1	1
155.166	1213	4	1
155.306	1214	2	1
155.445	1215	1	1
155.585	1216	3	2
155.864	1217	1	1
155.864	1218	3	3
156.004	1219	2	2
156.143	1220	3	1
156.283	1221	1	1
156.283	1222	2	3
156.422	1223	4	1
156.562	1224	2	2
156.702	1225	4	1
156.841	1226	3	1
156.981	1227	1	1
157.120	1228	4	1
157.260	1229	3	1
157.400	1230	1	1
157.539	1231	4	1
157.539	1232	2	3
157.609	1233	3	1
157.679	1234	2	1
157.749	1235	1	1
157.818	1236	4	1
157.958	1237	2	1
