Song Name	Sad Dream (Hard) by UNDEAD CORPORATION
24.560	265	4	1
24.710	266	1	1
24.710	267	4	1
24.860	268	1	1
25.010	269	2	1
25.010	270	3	1
25.010	271	4	1
25.160	272	3	1
25.307	273	1	1
25.307	274	2	1
25.307	275	4	1
25.607	276	2	1
25.607	277	4	1
25.757	278	3	1
25.907	279	1	1
25.907	280	2	2
26.057	281	3	2
26.057	282	4	2
26.207	283	2	3
26.207	284	3	3
26.207	285	4	3
26.357	286	1	1
26.357	287	3	1
26.357	288	4	1
26.657	289	1	1
26.657	290	2	1
26.807	291	3	1
26.957	292	3	1
27.107	293	1	1
27.107	294	4	1
27.257	295	1	1
27.407	296	3	1
27.407	297	4	1
27.557	298	3	1
27.707	299	1	1
27.707	300	2	1
27.707	301	4	1
28.015	302	3	1
28.015	303	4	1
28.170	304	1	1
28.326	305	2	2
28.326	306	3	1
28.476	307	1	2
28.476	308	4	2
28.626	309	1	3
28.626	310	2	3
28.626	311	4	3
28.776	312	1	1
28.776	313	2	1
28.776	314	3	1
28.776	315	4	1
29.070	316	1	1
29.220	317	2	1
29.370	318	1	1
29.370	319	4	1
29.520	320	3	1
29.670	321	1	1
29.670	322	2	1
29.820	323	3	1
29.820	324	4	1
30.120	325	1	1
30.120	326	4	1
30.270	327	2	1
30.270	328	4	1
30.420	329	1	1
30.420	330	3	1
30.570	331	4	1
30.720	332	2	2
30.870	333	3	1
31.020	334	1	1
31.020	335	4	1
31.020	336	2	3
31.170	337	2	1
31.320	338	1	1
31.320	339	4	2
31.470	340	2	1
31.470	341	3	1
31.620	342	1	1
31.620	343	3	1
31.620	344	4	3
31.770	345	2	2
31.920	346	4	1
31.920	347	2	3
32.070	348	3	2
32.220	349	2	1
32.220	350	4	1
32.370	351	1	2
32.370	352	3	3
32.520	353	3	1
32.520	354	4	1
32.670	355	2	1
32.670	356	3	1
32.670	357	1	3
32.820	358	1	1
32.820	359	4	2
32.970	360	2	1
33.120	361	3	1
33.120	362	4	3
33.270	363	1	1
33.407	364	2	1
33.407	365	4	1
33.557	366	1	1
33.707	367	4	1
33.863	368	3	1
34.020	369	1	1
34.020	370	4	1
34.170	371	2	1
34.245	372	3	1
34.245	373	4	1
34.320	374	1	1
34.470	375	3	1
34.470	376	4	1
34.620	377	1	1
34.620	378	3	1
34.770	379	2	1
34.920	380	1	1
34.920	381	4	1
35.070	382	1	1
35.070	383	3	1
35.220	384	2	1
35.220	385	4	1
35.370	386	3	1
35.520	387	1	2
35.670	388	2	1
35.820	389	3	1
35.820	390	4	1
35.820	391	1	3
35.970	392	4	2
36.104	393	1	1
36.104	394	2	1
36.254	395	2	1
36.254	396	3	1
36.254	397	4	3
36.404	398	1	2
36.404	399	4	1
36.554	400	2	1
36.704	401	3	2
36.704	402	1	3
36.854	403	4	1
36.854	404	3	3
37.004	405	1	1
37.004	406	2	1
37.154	407	3	2
37.304	408	1	1
37.304	409	4	1
37.454	410	1	1
37.454	411	2	1
37.454	412	3	3
37.604	413	3	1
37.604	414	4	1
37.754	415	2	1
37.904	416	1	1
37.904	417	4	1
38.063	418	3	1
38.063	419	4	1
38.213	420	1	1
38.213	421	2	1
38.363	422	2	1
38.363	423	4	1
38.519	424	1	1
38.519	425	3	1
38.519	426	4	1
38.669	427	2	1
38.669	428	3	1
38.813	429	1	1
38.813	430	2	1
38.813	431	4	1
38.963	432	1	1
38.963	433	3	1
39.113	434	2	1
39.113	435	3	1
39.113	436	4	1
39.269	437	1	1
39.344	438	3	1
39.419	439	1	1
39.419	440	2	1
39.419	441	4	1
39.569	442	2	1
39.717	443	1	1
39.717	444	3	2
39.717	445	4	1
40.012	446	1	1
40.012	447	2	1
40.012	448	4	1
40.012	449	3	3
40.174	450	1	1
40.174	451	3	1
40.324	452	2	2
40.478	453	3	1
40.478	454	4	1
40.628	455	1	1
40.628	456	4	1
40.628	457	2	3
40.778	458	2	1
40.928	459	3	1
40.928	460	4	2
41.078	461	2	1
41.228	462	1	1
41.228	463	3	1
41.228	464	4	3
41.378	465	2	1
41.378	466	3	2
41.528	467	4	1
41.528	468	3	3
41.678	469	1	1
41.678	470	2	2
41.828	471	1	1
41.828	472	4	1
41.828	473	2	3
41.978	474	3	2
42.128	475	1	1
42.128	476	4	1
42.278	477	2	1
42.278	478	3	3
42.428	479	1	2
42.428	480	4	1
42.578	481	3	1
42.578	482	4	1
42.728	483	2	1
42.878	484	3	1
42.878	485	4	1
42.878	486	1	3
43.028	487	1	1
43.028	488	3	1
43.178	489	4	1
43.328	490	1	1
43.328	491	2	1
43.478	492	2	1
43.478	493	3	1
43.628	494	1	1
43.628	495	4	1
43.766	496	3	1
43.766	497	4	1
43.927	498	2	1
44.077	499	1	1
44.077	500	3	1
44.227	501	1	1
44.227	502	4	1
44.369	503	3	1
44.369	504	4	1
44.519	505	1	1
44.519	506	2	1
44.669	507	3	1
44.819	508	1	1
44.819	509	4	1
44.969	510	1	1
44.969	511	3	1
45.119	512	2	1
45.269	513	1	2
45.269	514	4	1
45.419	515	2	1
45.419	516	4	1
45.569	517	3	2
45.569	518	1	3
45.719	519	1	1
45.719	520	4	1
45.869	521	1	1
45.869	522	2	1
45.869	523	3	3
46.019	524	3	1
46.019	525	4	1
46.169	526	2	1
46.169	527	3	1
46.319	528	1	1
46.319	529	4	1
46.394	530	3	1
46.469	531	2	1
46.544	532	4	1
46.619	533	1	1
46.619	534	2	1
46.694	535	3	1
46.769	536	1	1
46.844	537	3	1
46.919	538	1	1
46.919	539	2	2
46.919	540	4	1
47.203	541	1	1
47.203	542	4	1
47.203	543	2	3
47.353	544	3	1
47.353	545	4	1
47.503	546	2	1
47.578	547	3	1
47.653	548	1	1
47.653	549	4	1
47.803	550	1	1
47.803	551	2	1
47.885	552	3	1
47.966	553	4	1
48.041	554	2	1
48.119	555	1	1
48.119	556	3	1
48.119	557	4	1
48.269	558	2	1
48.344	559	3	1
48.419	560	1	1
48.419	561	4	1
48.494	562	2	1
48.569	563	3	1
48.644	564	1	1
48.719	565	3	1
48.719	566	4	1
48.794	567	2	1
48.869	568	1	1
48.944	569	3	1
49.019	570	1	1
49.019	571	4	1
49.094	572	2	1
49.169	573	3	1
49.244	574	2	1
49.319	575	1	1
49.319	576	3	1
49.319	577	4	1
49.469	578	3	1
49.619	579	3	1
49.769	580	1	1
49.769	581	2	1
49.769	582	4	1
49.919	583	2	1
50.069	584	2	1
50.219	585	1	1
50.219	586	3	1
50.219	587	4	1
50.369	588	3	1
50.519	589	3	1
50.669	590	1	1
50.669	591	2	1
50.669	592	4	1
50.819	593	2	1
50.969	594	2	1
51.119	595	1	1
51.119	596	3	1
51.119	597	4	1
51.269	598	2	1
51.269	599	3	1
51.419	600	1	1
51.419	601	2	2
51.419	602	4	1
51.719	603	1	2
51.719	604	3	1
51.719	605	4	1
51.719	606	2	3
52.019	607	2	1
52.019	608	4	1
52.019	609	1	3
52.169	610	3	2
52.169	611	4	1
52.319	612	2	1
52.469	613	1	1
52.469	614	4	1
52.469	615	3	3
52.619	616	1	1
52.619	617	3	1
52.769	618	2	2
52.901	619	1	1
52.901	620	4	1
53.051	621	3	1
53.051	622	4	1
53.051	623	2	3
53.201	624	1	2
53.201	625	2	1
53.351	626	4	1
53.351	627	1	3
53.426	628	3	1
53.501	629	1	1
53.501	630	2	1
53.651	631	2	1
53.651	632	4	1
53.801	633	3	1
53.801	634	4	1
53.951	635	1	1
53.951	636	2	1
54.107	637	1	1
54.107	638	3	1
54.107	639	4	1
54.257	640	3	1
54.407	641	3	1
54.557	642	1	1
54.557	643	2	1
54.557	644	4	1
54.707	645	2	1
54.857	646	2	1
55.005	647	1	1
55.005	648	3	1
55.005	649	4	1
55.155	650	3	1
55.302	651	3	1
55.452	652	1	1
55.452	653	2	1
55.452	654	4	1
55.602	655	2	1
55.752	656	2	1
55.889	657	1	1
55.889	658	4	1
56.046	659	3	1
56.046	660	4	1
56.209	661	1	1
56.209	662	2	2
56.509	663	1	1
56.509	664	3	1
56.509	665	4	1
56.509	666	2	3
56.659	667	2	1
56.659	668	3	1
56.809	669	1	1
56.809	670	4	1
56.959	671	1	1
56.959	672	2	2
57.109	673	3	1
57.109	674	4	1
57.259	675	1	1
57.259	676	4	2
57.259	677	2	3
57.409	678	2	1
57.409	679	3	1
57.559	680	1	1
57.559	681	2	1
57.559	682	4	3
57.706	683	1	1
57.706	684	3	1
57.706	685	4	1
57.856	686	2	1
57.931	687	3	1
58.006	688	1	1
58.006	689	4	1
58.156	690	3	1
58.231	691	2	1
58.306	692	1	1
58.306	693	3	1
58.306	694	4	1
58.456	695	2	1
58.456	696	3	1
58.612	697	1	1
58.612	698	4	1
58.915	699	1	1
58.915	700	2	1
58.915	701	4	2
59.210	702	1	1
59.210	703	2	1
59.210	704	4	3
59.360	705	1	2
59.360	706	4	1
59.510	707	2	1
59.660	708	3	1
59.660	709	4	1
59.660	710	1	3
59.810	711	1	1
59.810	712	4	2
60.110	713	1	1
60.110	714	4	3
60.260	715	1	2
60.410	716	3	1
60.410	717	4	1
60.560	718	2	1
60.560	719	3	1
60.560	720	1	3
60.710	721	1	1
60.710	722	4	2
60.860	723	3	1
61.021	724	1	1
61.021	725	2	2
61.021	726	4	3
61.321	727	1	2
61.321	728	3	1
61.321	729	4	1
61.321	730	2	3
61.621	731	2	1
61.621	732	4	1
61.621	733	1	3
61.771	734	3	2
61.771	735	4	1
61.921	736	2	1
62.065	737	1	1
62.065	738	4	1
62.065	739	3	3
62.215	740	1	1
62.215	741	3	1
62.365	742	2	2
62.365	743	4	1
62.515	744	1	1
62.665	745	3	1
62.665	746	4	1
62.665	747	2	3
62.815	748	1	1
62.815	749	4	1
62.965	750	1	1
62.965	751	2	1
63.115	752	3	1
63.115	753	4	1
63.265	754	2	1
63.340	755	3	1
63.415	756	1	1
63.415	757	4	1
63.490	758	2	1
63.565	759	3	1
63.640	760	2	1
63.721	761	1	1
63.721	762	3	1
63.721	763	4	1
63.871	764	3	1
64.021	765	3	1
64.171	766	1	1
64.171	767	2	1
64.171	768	4	1
64.321	769	2	1
64.471	770	2	1
64.616	771	1	1
64.616	772	3	1
64.616	773	4	1
64.766	774	3	1
64.916	775	3	1
65.066	776	1	1
65.066	777	2	1
65.066	778	4	1
65.216	779	2	1
65.366	780	2	1
65.505	781	1	1
65.505	782	3	1
65.505	783	4	1
65.655	784	2	1
65.655	785	3	1
65.805	786	1	1
65.805	787	2	1
65.805	788	4	1
65.962	789	3	1
66.037	790	2	1
66.111	791	1	1
66.111	792	3	1
66.111	793	4	2
66.390	794	2	1
66.390	795	4	3
66.465	796	3	1
66.540	797	1	2
66.540	798	2	1
66.540	799	4	1
66.840	800	3	1
66.840	801	1	3
66.920	802	2	1
67.001	803	1	1
67.001	804	3	1
67.001	805	4	1
67.151	806	3	2
67.460	807	3	3
67.610	808	1	1
67.910	809	1	2
68.210	810	3	2
68.360	811	1	3
68.360	812	3	3
68.510	813	1	1
68.510	814	2	1
68.510	815	4	2
68.660	816	2	1
68.660	817	3	1
68.810	818	1	1
68.810	819	2	1
68.810	820	4	3
68.960	821	3	2
68.960	822	4	1
69.110	823	1	1
69.260	824	2	1
69.260	825	3	3
69.410	826	1	2
69.410	827	4	1
69.560	828	2	1
69.710	829	3	1
69.710	830	4	1
69.860	831	3	1
69.860	832	4	1
69.860	833	1	3
70.010	834	1	1
70.010	835	2	2
70.160	836	3	1
70.310	837	1	1
70.310	838	4	2
70.310	839	2	3
70.460	840	3	1
70.610	841	1	1
70.610	842	2	2
70.610	843	4	3
70.760	844	4	1
70.910	845	1	1
70.910	846	3	1
71.060	847	1	1
71.060	848	3	1
71.060	849	2	3
71.210	850	2	1
71.210	851	4	2
71.360	852	3	1
71.510	853	1	1
71.510	854	2	2
71.510	855	4	3
71.660	856	3	1
71.805	857	1	2
71.805	858	4	1
71.805	859	2	3
71.955	860	2	1
72.105	861	3	1
72.105	862	4	1
72.255	863	3	1
72.255	864	4	1
72.255	865	1	3
72.405	866	1	1
72.405	867	2	2
72.549	868	3	1
72.699	869	1	2
72.699	870	4	1
72.699	871	2	3
72.843	872	3	1
72.993	873	2	1
72.993	874	4	2
72.993	875	1	3
73.143	876	3	1
73.293	877	1	1
73.293	878	2	1
73.443	879	1	1
73.443	880	2	1
73.443	881	4	3
73.593	882	3	1
73.593	883	4	1
73.743	884	2	1
73.893	885	1	2
73.893	886	3	1
73.893	887	4	1
74.043	888	3	1
74.043	889	1	3
74.193	890	1	1
74.193	891	2	1
74.193	892	4	2
74.343	893	2	1
74.343	894	4	3
74.493	895	1	2
74.493	896	3	1
74.493	897	4	1
74.643	898	2	1
74.643	899	3	1
74.643	900	1	3
74.793	901	1	1
74.793	902	4	1
74.943	903	1	1
74.943	904	3	2
74.943	905	4	2
75.093	906	2	1
75.243	907	1	1
75.243	908	3	3
75.243	909	4	3
75.393	910	2	1
75.393	911	4	1
75.543	912	3	1
75.693	913	1	1
75.693	914	2	1
75.693	915	4	2
75.843	916	2	1
75.843	917	3	1
75.993	918	1	1
75.993	919	2	1
75.993	920	4	3
76.143	921	3	2
76.143	922	4	1
76.293	923	1	1
76.443	924	2	1
76.443	925	4	1
76.443	926	3	3
76.593	927	1	2
76.593	928	3	1
76.743	929	2	1
76.893	930	3	1
76.893	931	4	1
76.893	932	1	3
77.043	933	3	1
77.043	934	4	1
77.193	935	1	2
77.193	936	2	1
77.343	937	4	1
77.493	938	3	1
77.643	939	4	1
77.643	940	1	3
77.793	941	1	1
77.793	942	2	1
77.943	943	3	1
77.943	944	4	1
78.093	945	1	1
78.093	946	2	1
78.093	947	4	2
78.243	948	2	1
78.243	949	3	1
78.393	950	1	1
78.393	951	2	1
78.393	952	4	3
78.543	953	3	2
78.543	954	4	1
78.693	955	1	1
78.843	956	2	1
78.843	957	3	3
78.993	958	1	2
78.993	959	4	1
79.143	960	2	1
79.301	961	3	1
79.301	962	4	1
79.451	963	3	1
79.451	964	4	1
79.451	965	1	3
79.601	966	1	1
79.601	967	2	2
79.751	968	3	1
79.901	969	1	1
79.901	970	4	2
79.901	971	2	3
80.051	972	3	1
80.201	973	1	1
80.201	974	2	2
80.201	975	4	3
80.351	976	4	1
80.501	977	1	1
80.501	978	3	1
80.651	979	1	1
80.651	980	3	1
80.651	981	2	3
80.801	982	2	1
80.801	983	4	2
80.951	984	3	1
81.101	985	1	1
81.101	986	2	2
81.101	987	4	3
81.251	988	3	1
81.416	989	1	2
81.416	990	4	1
81.416	991	2	3
81.566	992	2	1
81.716	993	3	1
81.716	994	4	1
81.866	995	3	1
81.866	996	4	1
81.866	997	1	3
82.016	998	1	1
82.016	999	2	2
82.166	1000	3	1
82.316	1001	1	1
82.316	1002	4	1
82.316	1003	2	3
82.391	1004	3	1
82.466	1005	2	1
82.541	1006	4	1
82.612	1007	1	1
82.612	1008	2	1
82.687	1009	3	1
82.762	1010	2	1
82.837	1011	3	1
82.906	1012	1	1
82.906	1013	2	1
82.906	1014	4	2
83.056	1015	1	1
83.206	1016	2	1
83.206	1017	3	1
83.356	1018	2	1
83.356	1019	4	3
83.506	1020	1	1
83.506	1021	3	1
83.506	1022	4	1
83.656	1023	2	1
83.656	1024	3	1
83.815	1025	1	1
83.815	1026	2	1
83.815	1027	4	1
83.965	1028	1	2
84.115	1029	3	1
84.115	1030	4	1
84.265	1031	3	1
84.265	1032	1	3
84.415	1033	1	1
84.415	1034	2	1
84.415	1035	4	1
84.565	1036	2	1
84.565	1037	3	1
84.715	1038	1	1
84.715	1039	3	1
84.715	1040	4	1
84.865	1041	3	1
85.028	1042	1	1
85.028	1043	2	1
85.178	1044	2	1
85.324	1045	1	1
85.324	1046	3	1
85.324	1047	4	1
85.474	1048	3	1
85.624	1049	3	1
85.774	1050	1	1
85.774	1051	2	1
85.774	1052	4	1
85.924	1053	2	1
86.074	1054	2	1
86.218	1055	1	1
86.218	1056	3	1
86.218	1057	4	1
86.368	1058	3	1
86.443	1059	2	1
86.518	1060	4	1
86.593	1061	2	1
86.668	1062	1	1
86.668	1063	3	1
86.668	1064	4	1
86.812	1065	2	1
86.887	1066	3	1
86.962	1067	1	1
87.037	1068	3	1
87.112	1069	1	1
87.112	1070	2	1
87.112	1071	4	1
87.262	1072	1	1
87.262	1073	2	1
87.262	1074	4	1
87.412	1075	3	2
87.712	1076	1	1
87.712	1077	2	1
87.712	1078	4	1
87.712	1079	3	3
88.012	1080	1	1
88.012	1081	3	1
88.162	1082	2	1
88.312	1083	3	2
88.312	1084	4	1
88.462	1085	1	2
88.462	1086	2	2
88.612	1087	1	3
88.612	1088	2	3
88.612	1089	3	3
88.762	1090	1	1
88.762	1091	2	1
88.762	1092	4	1
89.062	1093	3	1
89.062	1094	4	1
89.212	1095	2	1
89.362	1096	2	1
89.512	1097	1	1
89.512	1098	4	1
89.662	1099	4	1
89.812	1100	1	1
89.812	1101	2	1
89.962	1102	2	1
90.112	1103	1	1
90.112	1104	3	1
90.112	1105	4	1
90.412	1106	1	1
90.412	1107	2	1
90.562	1108	4	1
90.712	1109	2	1
90.712	1110	3	2
90.862	1111	1	2
90.862	1112	4	2
91.012	1113	1	3
91.012	1114	3	3
91.012	1115	4	3
91.162	1116	1	1
91.162	1117	2	1
91.162	1118	4	1
91.462	1119	3	1
91.462	1120	4	1
91.612	1121	3	1
91.762	1122	1	1
91.762	1123	2	1
91.912	1124	2	1
91.912	1125	4	1
92.062	1126	4	1
92.212	1127	1	1
92.212	1128	2	1
92.212	1129	3	1
92.362	1130	2	1
92.512	1131	1	1
92.512	1132	3	1
92.512	1133	4	1
92.812	1134	1	1
92.812	1135	4	1
92.962	1136	2	1
93.112	1137	3	2
93.112	1138	4	1
93.262	1139	1	2
93.262	1140	2	2
93.412	1141	1	3
93.412	1142	2	3
93.412	1143	3	3
93.562	1144	1	1
93.562	1145	2	1
93.562	1146	4	1
93.862	1147	3	1
93.862	1148	4	1
94.012	1149	3	1
94.162	1150	1	1
94.162	1151	2	1
94.312	1152	1	1
94.312	1153	4	1
94.462	1154	4	1
94.612	1155	1	1
94.612	1156	2	1
94.762	1157	2	1
94.912	1158	1	1
94.912	1159	3	1
94.912	1160	4	1
95.212	1161	1	1
95.212	1162	2	1
95.343	1163	3	1
95.418	1164	2	1
95.493	1165	1	1
95.493	1166	3	1
95.493	1167	4	1
95.649	1168	2	1
95.649	1169	3	1
95.803	1170	1	1
95.803	1171	4	1
95.961	1172	2	1
95.961	1173	3	1
95.961	1174	4	1
96.253	1175	1	1
96.403	1176	1	1
96.553	1177	1	1
96.628	1178	3	1
96.703	1179	4	1
96.853	1180	4	1
97.003	1181	2	1
97.153	1182	2	1
97.311	1183	1	1
97.311	1184	3	1
97.311	1185	4	1
97.461	1186	2	1
97.611	1187	4	1
97.761	1188	2	1
97.911	1189	1	1
97.911	1190	3	2
98.061	1191	2	1
98.211	1192	4	1
98.361	1193	2	1
98.361	1194	3	3
98.511	1195	1	1
98.511	1196	4	2
98.661	1197	3	1
98.811	1198	2	1
98.811	1199	4	3
98.961	1200	3	2
99.111	1201	1	1
99.111	1202	4	1
99.111	1203	3	3
99.261	1204	2	2
99.411	1205	3	1
99.561	1206	1	2
99.561	1207	2	3
99.711	1208	3	1
99.711	1209	4	1
99.861	1210	2	1
99.861	1211	1	3
100.011	1212	4	2
100.161	1213	3	1
100.311	1214	1	1
100.311	1215	2	1
100.311	1216	4	3
100.454	1217	3	1
100.604	1218	1	1
100.754	1219	2	1
100.829	1220	3	1
100.904	1221	1	1
100.904	1222	4	1
101.054	1223	3	1
101.204	1224	4	1
101.354	1225	2	1
101.504	1226	1	1
101.504	1227	4	1
101.654	1228	3	1
101.804	1229	1	1
101.954	1230	3	1
102.104	1231	1	1
102.104	1232	4	1
102.254	1233	2	1
102.404	1234	4	1
102.554	1235	3	1
102.629	1236	2	1
102.704	1237	1	1
102.704	1238	4	1
102.854	1239	2	1
103.004	1240	4	1
103.079	1241	3	1
103.154	1242	1	1
103.229	1243	2	1
103.304	1244	3	1
103.304	1245	4	2
103.454	1246	1	1
103.604	1247	2	2
