Song Name	Chroma 'Heavenly' Mashup [EXTENDED CUT] (Hard) by Chroma (Arranged by CosmosGalaxies & iiJohn0)
20.221	118	4	1
20.388	119	2	1
20.388	120	3	1
20.554	121	4	1
20.721	122	3	1
20.888	123	2	1
21.054	124	3	1
21.054	125	4	2
21.054	126	1	3
21.221	127	1	1
21.388	128	2	1
21.388	129	3	1
21.554	130	2	1
21.721	131	1	1
21.721	132	3	1
21.888	133	1	1
21.888	134	3	1
22.054	135	2	1
22.054	136	3	1
22.221	137	2	1
22.221	138	3	1
22.388	139	1	1
22.388	140	2	2
22.388	141	3	1
22.388	142	4	3
22.721	143	3	2
22.721	144	2	3
22.888	145	1	1
23.054	146	2	1
23.054	147	4	2
23.054	148	3	3
23.388	149	3	2
23.388	150	4	3
23.554	151	2	1
23.721	152	1	2
23.721	153	4	1
23.721	154	3	3
23.888	155	2	1
24.054	156	3	1
24.054	157	4	1
24.221	158	2	1
24.388	159	3	1
24.388	160	4	1
24.388	161	1	3
24.554	162	2	2
24.721	163	3	2
24.721	164	2	3
24.888	165	4	2
24.888	166	3	3
25.054	167	1	2
25.054	168	2	1
25.054	169	4	3
25.138	170	4	2
25.138	171	1	3
25.221	172	2	2
25.221	173	4	3
25.388	174	1	2
25.388	175	2	3
25.554	176	4	1
25.721	177	2	1
25.721	178	3	1
25.721	179	1	3
25.888	180	1	2
26.054	181	2	2
26.054	182	1	3
26.221	183	4	2
26.221	184	2	3
26.388	185	1	1
26.388	186	3	2
26.388	187	4	3
26.554	188	4	1
26.721	189	2	2
26.721	190	3	3
26.888	191	1	1
27.054	192	3	1
27.054	193	4	2
27.054	194	2	3
27.221	195	1	1
27.388	196	2	1
27.554	197	3	1
27.721	198	1	2
27.721	199	2	1
27.721	200	3	1
27.721	201	4	3
28.054	202	4	1
28.221	203	2	1
28.388	204	3	1
28.388	205	4	1
28.721	206	2	2
28.721	207	1	3
28.888	208	3	2
28.888	209	2	3
29.054	210	1	1
29.054	211	4	2
29.054	212	3	3
29.221	213	3	1
29.388	214	1	1
29.388	215	2	1
29.554	216	3	1
29.721	217	1	1
29.721	218	2	1
30.054	219	2	1
30.221	220	3	1
30.388	221	1	2
30.388	222	2	1
30.388	223	4	3
30.721	224	2	1
30.888	225	4	1
31.054	226	2	1
31.054	227	3	1
31.221	228	4	1
31.388	229	3	1
31.554	230	2	1
31.721	231	3	1
31.721	232	4	1
31.888	233	2	1
32.054	234	3	1
32.054	235	4	1
32.221	236	3	1
32.388	237	2	1
32.388	238	4	1
32.554	239	2	1
32.554	240	4	1
32.721	241	3	1
32.721	242	4	1
32.888	243	3	1
32.888	244	4	1
33.054	245	2	1
33.054	246	3	1
33.054	247	4	1
33.054	248	1	3
33.721	249	2	1
33.721	250	3	2
33.888	251	3	3
34.054	252	3	2
34.221	253	4	2
34.221	254	3	3
34.388	255	1	1
34.388	256	2	2
34.388	257	4	3
34.554	258	2	3
34.721	259	1	1
34.721	260	2	2
34.888	261	4	2
35.054	262	3	1
35.388	263	1	2
35.388	264	3	2
35.388	265	2	3
35.388	266	4	3
35.721	267	2	1
35.721	268	4	1
35.721	269	1	3
35.721	270	3	3
36.388	271	2	1
36.388	272	3	2
36.554	273	1	2
36.554	274	3	3
36.721	275	3	2
36.721	276	1	3
36.888	277	1	2
36.888	278	3	3
36.971	279	2	1
37.054	280	3	2
37.054	281	4	1
37.054	282	1	3
37.221	283	1	2
37.388	284	2	1
37.388	285	4	1
37.554	286	2	2
37.554	287	4	2
37.554	288	1	3
37.554	289	3	3
37.721	290	1	1
38.054	291	3	1
38.388	292	1	1
38.388	293	3	1
38.388	294	2	3
38.388	295	4	3
39.054	296	3	1
39.054	297	4	2
39.221	298	2	2
39.388	299	1	2
39.388	300	2	3
39.388	301	4	3
39.554	302	3	1
39.638	303	4	1
39.721	304	2	1
39.721	305	3	1
39.721	306	1	3
40.054	307	1	1
40.054	308	2	1
40.388	309	3	1
40.388	310	4	2
40.554	311	2	2
40.721	312	1	2
40.721	313	2	3
40.721	314	4	3
40.888	315	3	1
40.971	316	4	1
41.054	317	2	1
41.054	318	3	1
41.054	319	1	3
41.721	320	1	2
41.721	321	2	1
41.888	322	4	1
41.888	323	1	3
42.054	324	1	2
42.221	325	3	1
42.221	326	1	3
42.304	327	3	1
42.388	328	2	2
42.388	329	4	1
42.554	330	3	2
42.721	331	1	1
42.721	332	4	1
42.721	333	2	3
42.721	334	3	3
42.888	335	2	2
43.054	336	4	1
43.221	337	1	2
43.221	338	2	3
43.388	339	3	1
43.721	340	2	1
43.721	341	4	1
43.721	342	1	3
44.054	343	3	1
44.221	344	1	1
44.388	345	2	2
44.388	346	4	1
44.554	347	1	2
44.554	348	2	3
44.721	349	3	2
44.721	350	1	3
44.888	351	4	2
44.888	352	3	3
45.054	353	1	1
45.054	354	2	2
45.054	355	4	3
45.221	356	3	1
45.221	357	2	3
45.388	358	1	1
45.388	359	2	2
45.554	360	4	2
45.721	361	3	1
46.054	362	1	2
46.054	363	3	2
46.054	364	2	3
46.054	365	4	3
46.388	366	2	1
46.388	367	4	1
46.388	368	1	3
46.388	369	3	3
46.721	370	1	1
46.888	371	4	1
47.054	372	2	1
47.054	373	3	2
47.221	374	1	2
47.221	375	3	3
47.388	376	3	2
47.388	377	1	3
47.554	378	1	2
47.554	379	3	3
47.638	380	2	1
47.721	381	3	2
47.721	382	4	1
47.721	383	1	3
47.888	384	1	2
48.054	385	2	1
48.054	386	4	1
48.221	387	2	2
48.221	388	4	2
48.221	389	1	3
48.221	390	3	3
48.388	391	1	1
48.721	392	3	1
49.054	393	1	1
49.054	394	3	1
49.054	395	2	3
49.054	396	4	3
49.388	397	2	1
49.554	398	1	1
49.721	399	3	1
49.721	400	4	2
49.888	401	2	2
50.054	402	1	2
50.054	403	2	3
50.054	404	4	3
50.221	405	3	1
50.304	406	4	1
50.388	407	2	1
50.388	408	3	1
50.388	409	1	3
50.721	410	1	1
50.721	411	2	1
50.888	412	1	1
51.054	413	3	1
51.054	414	4	2
51.221	415	2	2
51.388	416	1	2
51.388	417	2	3
51.388	418	4	3
51.554	419	3	1
51.638	420	4	1
51.721	421	2	1
51.721	422	3	1
51.721	423	1	3
52.054	424	1	2
52.221	425	3	2
52.221	426	1	3
52.304	427	4	1
52.388	428	1	2
52.388	429	2	1
52.388	430	3	3
52.554	431	1	3
52.721	432	1	2
52.888	433	3	2
52.888	434	1	3
53.054	435	1	2
53.054	436	2	1
53.054	437	4	2
53.054	438	3	3
53.221	439	1	3
53.388	440	1	1
53.388	441	2	2
53.554	442	3	2
53.554	443	2	3
53.721	444	1	1
53.721	445	2	1
53.721	446	3	3
53.721	447	4	3
53.888	448	3	1
54.054	449	1	1
54.096	450	2	1
54.221	451	4	1
54.242	452	3	1
54.388	453	3	1
54.409	454	2	1
54.534	455	1	1
54.564	456	4	1
54.614	457	3	1
54.664	458	1	1
54.714	459	2	1
54.764	460	3	1
54.764	461	4	1
54.830	462	2	1
54.897	463	1	1
54.939	464	4	1
55.005	465	2	1
55.005	466	3	1
55.088	467	1	1
55.171	468	3	1
55.251	469	1	1
55.251	470	4	1
55.417	471	2	1
55.501	472	3	1
55.584	473	1	1
55.584	474	2	1
55.626	475	4	1
55.667	476	3	1
55.709	477	2	1
55.751	478	1	1
55.751	479	4	1
55.834	480	3	1
55.917	481	1	1
55.917	482	2	1
55.917	483	4	1
56.084	484	2	1
56.251	485	1	1
56.251	486	3	1
56.251	487	4	1
56.334	488	2	1
56.376	489	3	1
56.417	490	1	1
56.417	491	4	1
56.501	492	2	1
56.584	493	3	1
56.584	494	4	1
56.667	495	1	1
56.751	496	2	1
56.834	497	3	1
56.876	498	2	1
56.917	499	1	1
56.917	500	4	1
57.084	501	3	1
57.084	502	4	1
57.167	503	2	1
57.251	504	1	1
57.251	505	3	1
57.251	506	4	1
57.417	507	1	1
57.501	508	2	1
57.501	509	4	1
57.584	510	1	1
57.584	511	3	1
57.751	512	2	1
57.751	513	4	1
57.917	514	1	1
57.917	515	3	1
57.917	516	4	1
58.084	517	4	1
58.126	518	3	1
58.167	519	2	1
58.209	520	1	1
58.251	521	3	1
58.251	522	4	1
58.417	523	1	1
58.417	524	2	1
58.473	525	3	1
58.528	526	2	1
58.584	527	1	1
58.584	528	3	1
58.584	529	4	1
58.750	530	3	1
58.834	531	1	1
58.834	532	2	1
58.917	533	3	1
58.917	534	4	1
59.084	535	1	1
59.084	536	2	1
59.139	537	3	1
59.195	538	2	1
59.250	539	1	1
59.250	540	3	1
59.250	541	4	1
59.417	542	2	2
59.500	543	3	2
59.584	544	1	1
59.584	545	4	1
59.584	546	2	3
59.584	547	3	3
59.834	548	2	1
59.834	549	3	1
60.084	550	1	1
60.084	551	2	1
60.250	552	4	2
60.417	553	1	2
60.417	554	4	3
60.584	555	2	2
60.584	556	1	3
60.625	557	4	1
60.750	558	3	2
60.750	559	2	3
60.834	560	1	1
60.917	561	4	2
60.917	562	3	3
60.959	563	2	1
61.084	564	3	2
61.084	565	4	3
61.250	566	1	1
61.250	567	3	3
61.306	568	2	1
61.362	569	3	1
61.417	570	4	1
61.473	571	1	1
61.528	572	2	1
61.584	573	4	1
61.625	574	3	1
61.667	575	2	1
61.709	576	1	1
61.750	577	3	1
61.750	578	4	1
61.862	579	2	1
61.862	580	3	1
61.973	581	1	1
61.973	582	2	1
62.072	583	1	1
62.072	584	3	1
62.072	585	4	1
62.155	586	2	1
62.238	587	4	1
62.322	588	2	1
62.322	589	3	1
62.405	590	1	1
62.488	591	3	1
62.572	592	1	1
62.572	593	4	1
62.738	594	2	1
62.822	595	3	1
62.905	596	1	1
62.905	597	2	1
62.947	598	4	1
62.988	599	3	1
63.030	600	2	1
63.072	601	1	1
63.072	602	4	1
63.155	603	3	1
63.238	604	1	1
63.238	605	2	1
63.238	606	4	1
63.405	607	2	1
63.572	608	1	1
63.572	609	3	1
63.572	610	4	1
63.655	611	2	1
63.697	612	3	1
63.738	613	1	1
63.738	614	4	1
63.822	615	2	1
63.905	616	3	1
63.905	617	4	1
63.988	618	1	1
64.072	619	2	1
64.155	620	3	1
64.197	621	2	1
64.238	622	1	1
64.238	623	4	1
64.405	624	3	1
64.405	625	4	1
64.488	626	2	1
64.572	627	1	1
64.572	628	3	1
64.572	629	4	1
64.738	630	1	1
64.822	631	2	1
64.822	632	4	1
64.905	633	1	1
64.905	634	3	1
65.072	635	2	1
65.072	636	4	1
65.238	637	1	1
65.238	638	3	1
65.238	639	4	1
65.405	640	4	1
65.447	641	3	1
65.488	642	2	1
65.530	643	1	1
65.572	644	3	1
65.572	645	4	1
65.738	646	1	1
65.738	647	2	1
65.794	648	3	1
65.842	649	2	1
65.905	650	1	1
65.905	651	3	1
65.905	652	4	1
66.072	653	3	1
66.155	654	1	1
66.155	655	2	1
66.238	656	3	1
66.238	657	4	1
66.405	658	1	1
66.405	659	2	1
66.460	660	3	1
66.509	661	2	1
66.572	662	1	1
66.572	663	3	1
66.572	664	4	1
66.738	665	2	2
66.822	666	3	2
66.905	667	1	1
66.905	668	4	1
66.905	669	2	3
66.905	670	3	3
67.155	671	2	1
67.155	672	3	1
67.405	673	1	1
67.405	674	2	1
67.572	675	4	2
67.738	676	1	2
67.738	677	4	3
67.905	678	2	2
67.905	679	1	3
67.947	680	4	1
68.072	681	3	2
68.072	682	2	3
68.155	683	1	1
68.238	684	4	2
68.238	685	3	3
68.280	686	2	1
68.405	687	3	2
68.405	688	4	3
68.572	689	1	1
68.572	690	3	3
68.627	691	2	1
68.676	692	3	1
68.738	693	4	1
68.794	694	1	1
68.849	695	2	1
68.905	696	4	1
68.947	697	3	1
68.988	698	2	1
69.030	699	1	1
69.072	700	3	1
69.072	701	4	1
69.176	702	2	1
69.176	703	3	1
69.294	704	1	1
69.294	705	2	1
69.405	706	1	1
69.405	707	3	1
69.405	708	4	1
69.571	709	2	1
69.655	710	3	1
69.655	711	4	1
69.738	712	1	1
69.905	713	3	1
69.905	714	4	1
69.988	715	2	1
70.127	716	3	1
70.127	717	4	1
70.238	718	1	1
70.349	719	3	1
70.349	720	4	1
70.446	721	2	1
70.571	722	3	1
70.571	723	4	1
70.655	724	1	1
70.738	725	3	1
70.738	726	4	1
70.821	727	2	1
70.905	728	3	1
70.905	729	4	1
70.988	730	1	1
71.009	731	3	1
71.009	732	4	1
71.113	733	3	1
71.113	734	4	1
71.196	735	1	1
71.238	736	2	1
71.280	737	3	1
71.321	738	4	1
71.405	739	1	2
71.405	740	2	2
71.405	741	3	1
71.501	742	1	3
71.501	743	2	3
71.597	744	2	2
71.597	745	3	2
71.597	746	4	1
71.693	747	2	3
71.693	748	3	3
71.789	749	1	1
71.789	750	3	2
71.789	751	4	2
71.885	752	3	3
71.885	753	4	3
72.655	754	2	1
72.710	755	3	1
72.766	756	4	1
72.805	757	1	2
72.805	758	2	2
73.061	759	4	2
73.061	760	2	3
73.189	761	2	2
73.189	762	4	3
73.317	763	3	2
73.446	764	4	2
75.753	765	1	3
75.753	766	2	3
75.753	767	3	3
75.753	768	4	3
76.074	769	2	1
76.074	770	3	1
76.330	771	2	2
76.522	772	1	1
76.522	773	2	3
76.599	774	4	2
76.714	775	4	3
76.733	776	1	1
76.791	777	2	1
76.849	778	3	1
76.906	779	2	2
76.906	780	4	1
77.099	781	3	2
77.253	782	1	1
77.253	783	4	2
77.253	784	2	3
77.253	785	3	3
77.453	786	3	1
77.553	787	4	3
77.653	788	1	1
77.653	789	2	1
77.653	790	4	2
77.853	791	3	1
77.986	792	1	2
77.986	793	2	1
77.986	794	4	3
78.253	795	4	1
78.386	796	2	1
78.453	797	3	1
78.453	798	4	1
78.653	799	2	1
78.786	800	4	1
78.853	801	2	1
78.853	802	3	1
79.053	803	4	1
79.186	804	2	1
79.253	805	3	1
79.253	806	4	1
79.253	807	1	3
79.453	808	2	1
79.586	809	3	1
79.653	810	2	2
79.788	811	1	1
79.788	812	2	3
79.855	813	4	2
79.921	814	4	3
80.055	815	1	1
80.055	816	3	1
80.255	817	2	1
80.388	818	3	1
80.455	819	1	1
80.455	820	2	1
80.455	821	4	2
80.655	822	3	1
80.755	823	4	3
80.855	824	1	1
80.855	825	2	1
80.855	826	4	2
81.055	827	3	1
81.188	828	1	2
81.188	829	2	1
81.188	830	4	3
81.455	831	4	1
81.588	832	2	1
81.655	833	3	1
81.655	834	4	1
81.855	835	2	1
81.988	836	4	1
82.055	837	2	1
82.055	838	3	1
82.255	839	2	1
82.388	840	3	1
82.388	841	4	1
82.388	842	1	3
82.455	843	1	1
82.455	844	2	1
82.588	845	3	1
82.588	846	4	1
82.655	847	1	1
82.655	848	2	1
82.788	849	3	1
82.855	850	2	2
82.988	851	1	1
82.988	852	2	3
83.055	853	4	2
83.121	854	4	3
83.255	855	1	1
83.255	856	3	1
83.455	857	2	1
83.588	858	3	1
83.655	859	1	1
83.655	860	2	1
83.655	861	4	2
83.855	862	3	1
83.955	863	4	3
84.055	864	1	1
84.055	865	2	1
84.055	866	4	2
84.255	867	3	1
84.388	868	1	2
84.388	869	2	1
84.388	870	4	3
84.655	871	4	1
84.788	872	2	1
84.855	873	3	1
84.855	874	4	1
85.055	875	2	1
85.188	876	4	1
85.255	877	2	1
85.255	878	3	1
85.455	879	4	1
85.588	880	2	1
85.655	881	3	1
85.655	882	4	1
85.655	883	1	3
85.855	884	2	1
85.988	885	3	1
86.055	886	2	2
86.188	887	1	1
86.188	888	2	3
86.255	889	4	2
86.321	890	4	3
86.455	891	1	1
86.455	892	3	1
86.655	893	2	1
86.788	894	3	1
86.855	895	1	1
86.855	896	2	1
86.855	897	4	2
87.055	898	3	1
87.155	899	4	3
87.255	900	1	1
87.255	901	2	1
87.255	902	4	2
87.455	903	3	1
87.588	904	1	2
87.588	905	2	1
87.588	906	4	3
87.855	907	2	1
87.988	908	4	1
88.055	909	2	1
88.055	910	3	1
88.255	911	4	1
88.388	912	2	1
88.455	913	3	1
88.455	914	4	1
88.455	915	1	3
88.588	916	1	1
88.588	917	2	1
88.655	918	3	1
88.655	919	4	1
88.788	920	3	1
88.788	921	4	1
88.855	922	1	1
88.855	923	2	1
89.255	924	1	2
89.255	925	4	1
89.588	926	3	1
89.588	927	1	3
89.655	928	2	2
89.788	929	1	1
89.788	930	2	3
89.855	931	3	2
89.988	932	2	1
89.988	933	3	3
90.055	934	1	1
90.055	935	4	2
90.388	936	1	1
90.388	937	4	3
90.455	938	3	2
90.588	939	2	1
90.588	940	3	3
90.655	941	3	2
90.788	942	4	1
90.788	943	3	3
90.855	944	1	1
90.855	945	2	2
91.655	946	3	2
91.655	947	2	3
92.055	948	1	2
92.055	949	3	3
92.388	950	1	3
92.455	951	1	2
92.455	952	4	1
92.788	953	3	1
92.788	954	1	3
92.855	955	2	2
92.988	956	1	1
92.988	957	2	3
93.055	958	3	2
93.188	959	2	1
93.188	960	3	3
93.255	961	1	1
93.255	962	4	2
93.588	963	1	1
93.588	964	4	3
93.655	965	3	2
93.788	966	2	1
93.788	967	3	3
93.855	968	4	2
93.988	969	3	1
93.988	970	4	3
94.055	971	1	1
94.055	972	2	2
94.255	973	3	1
94.321	974	1	1
94.388	975	4	1
94.455	976	1	1
94.555	977	4	1
94.655	978	1	1
94.788	979	4	1
94.855	980	3	2
94.855	981	2	3
94.921	982	1	1
95.055	983	4	1
95.188	984	1	1
95.188	985	2	1
95.188	986	3	3
95.255	987	3	1
95.255	988	4	1
95.388	989	1	1
95.388	990	2	1
95.455	991	3	1
95.455	992	4	1
95.655	993	1	2
95.655	994	2	1
95.788	995	4	1
95.855	996	2	1
95.855	997	3	1
95.988	998	4	1
95.988	999	1	3
96.055	1000	2	2
96.055	1001	3	1
96.188	1002	1	1
96.188	1003	2	3
96.255	1004	3	2
96.388	1005	1	1
96.388	1006	3	3
96.455	1007	2	1
96.455	1008	4	2
96.655	1009	1	1
96.788	1010	2	1
96.788	1011	4	3
96.855	1012	1	1
96.855	1013	3	2
96.988	1014	2	1
96.988	1015	3	3
97.055	1016	3	2
97.188	1017	4	1
97.188	1018	3	3
97.255	1019	1	1
97.255	1020	2	2
97.455	1021	3	1
97.588	1022	4	1
97.655	1023	1	1
97.655	1024	3	1
97.855	1025	4	1
97.988	1026	1	1
98.055	1027	3	2
98.055	1028	4	1
98.055	1029	2	3
98.255	1030	1	1
98.388	1031	2	1
98.455	1032	1	2
98.455	1033	4	1
98.455	1034	3	3
98.655	1035	4	1
98.788	1036	3	1
98.788	1037	1	3
98.855	1038	1	2
98.855	1039	2	1
98.988	1040	4	1
99.055	1041	2	1
99.055	1042	3	1
99.188	1043	4	1
99.188	1044	1	3
99.255	1045	2	2
99.255	1046	3	1
99.388	1047	1	1
99.388	1048	2	3
99.455	1049	3	2
99.588	1050	1	1
99.588	1051	3	3
99.655	1052	2	1
99.655	1053	4	2
99.855	1054	1	1
99.988	1055	2	1
99.988	1056	4	3
100.055	1057	1	1
100.055	1058	3	2
100.188	1059	2	1
100.188	1060	3	3
100.255	1061	4	2
100.388	1062	2	2
100.388	1063	4	3
100.455	1064	1	1
100.455	1065	2	3
100.521	1066	3	2
100.588	1067	4	1
100.588	1068	3	3
100.655	1069	2	2
100.721	1070	1	1
100.721	1071	2	3
100.788	1072	3	2
100.855	1073	2	1
100.855	1074	4	1
100.855	1075	3	3
101.055	1076	1	1
101.188	1077	3	1
101.255	1078	1	2
101.255	1079	2	1
101.388	1080	4	2
101.388	1081	1	3
101.455	1082	3	2
101.455	1083	4	3
101.521	1084	2	2
101.521	1085	3	3
101.588	1086	1	2
101.588	1087	2	3
101.655	1088	3	1
101.655	1089	4	2
101.655	1090	1	3
101.721	1091	4	3
101.788	1092	1	2
101.855	1093	2	2
101.855	1094	1	3
101.921	1095	3	2
101.921	1096	2	3
101.988	1097	4	2
101.988	1098	3	3
102.055	1099	1	1
102.055	1100	2	1
102.055	1101	4	3
102.388	1102	3	1
102.455	1103	1	1
102.455	1104	2	2
102.588	1105	4	1
102.588	1106	2	3
102.655	1107	3	2
102.721	1108	1	1
102.788	1109	2	1
102.788	1110	3	3
102.855	1111	1	1
102.855	1112	4	2
102.988	1113	3	1
103.055	1114	2	1
103.121	1115	1	1
103.188	1116	3	1
103.255	1117	1	1
103.255	1118	2	2
103.255	1119	4	3
103.388	1120	4	1
103.388	1121	2	3
103.455	1122	3	2
103.521	1123	1	1
103.588	1124	4	2
103.588	1125	3	3
103.655	1126	1	1
103.655	1127	2	1
103.655	1128	4	3
103.855	1129	4	2
103.988	1130	3	1
104.055	1131	1	1
104.055	1132	2	1
104.055	1133	4	3
104.255	1134	2	2
104.388	1135	4	2
104.455	1136	1	1
104.455	1137	3	1
104.455	1138	2	3
104.455	1139	4	3
104.655	1140	2	2
104.655	1141	3	2
104.855	1142	1	1
104.855	1143	4	1
104.855	1144	2	3
104.855	1145	3	3
105.055	1146	1	2
105.055	1147	2	2
105.255	1148	4	2
105.255	1149	1	3
105.255	1150	2	3
105.321	1151	4	3
105.388	1152	3	2
105.455	1153	4	2
105.455	1154	3	3
105.521	1155	4	3
105.588	1156	3	2
105.655	1157	1	1
105.655	1158	2	2
105.655	1159	3	3
105.788	1160	4	1
105.788	1161	2	3
105.855	1162	3	2
105.921	1163	1	1
105.988	1164	2	1
105.988	1165	3	3
106.055	1166	1	1
106.055	1167	4	2
106.188	1168	3	1
106.255	1169	2	1
106.321	1170	1	1
106.388	1171	3	1
106.455	1172	1	1
106.455	1173	2	2
106.455	1174	4	3
106.588	1175	3	1
106.588	1176	2	3
106.655	1177	4	2
106.721	1178	1	1
106.788	1179	2	2
106.788	1180	4	3
106.855	1181	1	1
106.855	1182	3	1
106.855	1183	2	3
106.988	1184	2	2
107.055	1185	4	2
107.055	1186	2	3
107.121	1187	4	3
107.188	1188	2	1
107.255	1189	1	1
107.255	1190	4	1
107.388	1191	3	1
107.455	1192	2	1
107.588	1193	2	1
107.655	1194	1	1
107.655	1195	3	1
107.655	1196	4	2
107.855	1197	2	1
107.988	1198	3	1
108.055	1199	1	2
108.055	1200	2	1
108.255	1201	3	2
108.255	1202	1	3
108.455	1203	2	1
108.455	1204	3	3
108.455	1205	4	3
108.655	1206	4	1
108.788	1207	3	1
108.855	1208	1	1
108.855	1209	2	2
108.988	1210	4	1
108.988	1211	2	3
109.055	1212	3	2
109.121	1213	1	1
109.188	1214	2	1
109.188	1215	3	3
109.255	1216	1	1
109.255	1217	4	2
109.388	1218	3	1
109.455	1219	2	1
109.521	1220	1	1
109.588	1221	3	1
109.655	1222	1	1
109.655	1223	2	2
109.655	1224	4	3
109.788	1225	4	1
109.788	1226	2	3
109.855	1227	3	2
109.921	1228	1	1
109.988	1229	4	2
109.988	1230	3	3
110.055	1231	1	1
110.055	1232	2	1
110.055	1233	4	3
110.255	1234	4	2
110.388	1235	3	1
110.455	1236	1	1
